slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.1	0	0	ORDO:79157	1	skos:broadMatch	0
3-Hydroxy-3-Methylglutaric_Aciduria	3-Hydroxy-3-Methylglutaric Aciduria	MONDO:0009520	1	TIMED_OUT	ICD10:E71.1	0	0	ORDO:20	1	skos:broadMatch	0
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency	MONDO:0011614	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.3	0	0	ORDO:35701	1	skos:broadMatch	0
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	3-hydroxyisobutyryl-CoA hydrolase deficiency	MONDO:0009603	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.1	0	0	ORDO:88639	1	skos:broadMatch	0
3-M_Syndrome	3-M Syndrome	MONDO:0007477	1	TIMED_OUT	ICD10:Q87.1	0	0	ORDO:2616	1	skos:broadMatch	0
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	3-Methylcrotonyl-CoA Carboxylase Deficiency	MONDO:0018950	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.1	0	0	ORDO:6	1	skos:broadMatch	0
3-Methylglutaconic_Aciduria_Type_I	3-Methylglutaconic Aciduria Type I	MONDO:0009610	1	TIMED_OUT	ICD10:E71.1	0	0	ORDO:67046	1	skos:broadMatch	0
3-Phosphoglycerate_Dehydrogenase_Deficiency	3-Phosphoglycerate Dehydrogenase Deficiency	MONDO:0011152	1	TIMED_OUT	ICD10:E72.8|ICD10:Q87.8	0	0	ORDO:79351	1	skos:broadMatch	0
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	MONDO:0013875	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.1	0	0	ORDO:352328	1	skos:broadMatch	0
3MC_Syndrome	3MC Syndrome	MONDO:0017398	1	TIMED_OUT	ICD10:Q87.8	0	0	ORDO:293843	1	skos:broadMatch	0
46_XX_Gonadal_Dysgenesis	46,XX Gonadal Dysgenesis	MONDO:0009299	1	TIMED_OUT	ICD10:Q96.8|ICD10:Q99.1	0	0	ORDO:243	1	skos:exactMatch	0
46_XX_Testicular_DSD	46,XX testicular disorder of sex development	MONDO:0100249	1	TIMED_OUT	ICD10:Q99.1	0	0	ORDO:393	1	skos:broadMatch	0
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	MONDO:0009916	1	TIMED_OUT	ICD10:E29.1	0	0	ORDO:752	1	skos:broadMatch	0
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	MONDO:0009923	1	ALL_MAPPINGS_CONSISTENT	ICD10:E29.1	0	0	ORDO:753	1	skos:broadMatch	0
46_XY_Partial_Gonadal_Dysgenesis	46,XY partial gonadal dysgenesis	MONDO:0016674	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q56.1	0	0	ORDO:251510	1	skos:broadMatch	0
46_XY_Sex_Reversal_5	46,XY Sex Reversal 5	MONDO:0013120	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
46_XY_complete_gonadal_dysgenesis	46,XY complete gonadal dysgenesis	MONDO:0010765	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q99.1	0	0	ORDO:242	1	skos:broadMatch	0
5-Oxoprolinase_Deficiency	5-Oxoprolinase Deficiency	MONDO:0009825	1	ALL_MAPPINGS_CONSISTENT	ICD10:E72.8	0	0	ORDO:33572	1	skos:broadMatch	0
ABCC9-Related_Intellectual_Disability_and_Myopathy_Syndrome	ABCC9-Related Intellectual Disability and Myopathy Syndrome	MONDO:0859224	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
ACAD9_Deficiency	ACAD9 Deficiency	MONDO:0012624	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.3	0	0	ORDO:99901	1	skos:broadMatch	0
ACTH-independent_Macronodular_Adrenal_Hyperplasia_3	ACTH-Independent Macronodular Adrenal Hyperplasia 3	MONDO:0700299	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
