slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ordo	ORDO:79157	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:79157	ICD10:E71.1	0.9	INCLUDED	NA
3-Hydroxy-3-Methylglutaric_Aciduria	ordo	ORDO:20	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:20	ICD10:E71.1	0.9	INCLUDED	NA
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ordo	ORDO:35701	skos:broadMatch	ICD-10:E71.3	ICD10:E71.3	ordo.db	ProperSubClassOf	ORDO:35701	ICD10:E71.3	0.9	INCLUDED	NA
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	ordo	ORDO:88639	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:88639	ICD10:E71.1	0.9	INCLUDED	NA
3-M_Syndrome	ordo	ORDO:2616	skos:broadMatch	ICD-10:Q87.1	ICD10:Q87.1	ordo.db	ProperSubClassOf	ORDO:2616	ICD10:Q87.1	0.9	INCLUDED	NA
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	ordo	ORDO:6	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:6	ICD10:E71.1	0.9	INCLUDED	NA
3-Methylglutaconic_Aciduria_Type_I	ordo	ORDO:67046	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:67046	ICD10:E71.1	0.9	INCLUDED	NA
3-Phosphoglycerate_Dehydrogenase_Deficiency	ordo	ORDO:583607	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:583607	ICD10:Q87.8	0.9	INCLUDED	NA
3-Phosphoglycerate_Dehydrogenase_Deficiency	ordo	ORDO:79351	skos:broadMatch	ICD-10:E72.8	ICD10:E72.8	ordo.db	ProperSubClassOf	ORDO:79351	ICD10:E72.8	0.9	INCLUDED	NA
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	ordo	ORDO:352328	skos:broadMatch	ICD-10:E71.1	ICD10:E71.1	ordo.db	ProperSubClassOf	ORDO:352328	ICD10:E71.1	0.9	INCLUDED	NA
3MC_Syndrome	ordo	ORDO:293843	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:293843	ICD10:Q87.8	0.9	INCLUDED	NA
46_XX_Gonadal_Dysgenesis	ordo	ORDO:243	skos:exactMatch	ICD-10:Q99.1	ICD10:Q99.1	ordo.db	EquivalentTo	ORDO:243	ICD10:Q99.1	0.95	INCLUDED	NA
46_XX_Gonadal_Dysgenesis	ordo	ORDO:444048	skos:broadMatch	ICD-10:Q96.8	ICD10:Q96.8	ordo.db	ProperSubClassOf	ORDO:444048	ICD10:Q96.8	0.9	INCLUDED	NA
46_XX_Testicular_DSD	ordo	ORDO:393	skos:broadMatch	ICD-10:Q99.1	ICD10:Q99.1	ordo.db	ProperSubClassOf	ORDO:393	ICD10:Q99.1	0.9	INCLUDED	NA
