slug	status	previous_status	previous_confidence	confidence	previous_posterior	posterior	previous_satisfiable_count	distinct_solutions	assignment_changed
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.180386286176	0.692724592119	288	128	False
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.171366971868	0.658088362513	576	256	False
46_XY_Partial_Gonadal_Dysgenesis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.210393685583	0.807959868341	36	16	False
46_XY_Sex_Reversal_5	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.207360352688	0.763529076814	72	32	False
46_XY_complete_gonadal_dysgenesis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.180386286176	0.692724592119	288	128	False
5-Oxoprolinase_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
ABCC9-Related_Intellectual_Disability_and_Myopathy_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.218274055461	0.803714817699	36	16	False
ACAD9_Deficiency	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
ACTH-independent_Macronodular_Adrenal_Hyperplasia_3	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.229762163644	0.846015597578	18	8	False
ACys_Amyloidosis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196992335054	0.725352622974	144	64	False
ADCA-DN	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
ADNP-Related_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
ADPRS-Related_Stress-Induced_Neurodegeneration	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.207360352688	0.763529076814	72	32	False
ADan_amyloidosis	RETRACTED	RETRACTED	0.5	0.5	0.09597062477	0.353376918885	432	192	False
