curie,label,retrieved_at
CL:0000540,neuron,2025-12-28T08:59:09.413662
CL:0000129,microglial cell,2025-12-28T08:59:09.413671
CL:0000127,astrocyte,2025-12-28T08:59:09.413674
CL:0000115,endothelial cell,2025-12-28T08:59:09.413677
CL:0000669,pericyte,2025-12-28T08:59:09.413679
CL:0000624,"CD4-positive, alpha-beta T cell",2025-12-28T08:59:09.413681
CL:0000236,B cell,2025-12-28T08:59:09.413684
CL:0000084,T cell,2025-12-28T08:59:09.413686
CL:0000097,mast cell,2025-12-28T08:59:09.413688
CL:0000771,eosinophil,2025-12-28T08:59:09.413691
CL:0002328,bronchial epithelial cell,2025-12-28T08:59:09.413693
CL:0000767,basophil,2025-12-28T08:59:09.413695
CL:0000775,neutrophil,2025-12-28T08:59:09.413697
CL:0000192,smooth muscle cell,2025-12-28T08:59:09.413699
CL:0000160,goblet cell,2025-12-28T08:59:09.413702
CL:0002202,epithelial cell of tracheobronchial tree,2025-12-28T08:59:09.413704
CL:0000057,fibroblast,2025-12-28T08:59:09.413706
CL:0002563,intestinal epithelial cell,2025-12-28T08:59:09.413709
CL:0000066,epithelial cell,2025-12-28T08:59:09.413711
CL:0000235,macrophage,2025-12-28T08:59:09.413713
CL:0000583,alveolar macrophage,2025-12-28T08:59:09.413715
CL:0000451,dendritic cell,2025-12-28T08:59:09.413718
CL:0000576,monocyte,2025-12-28T08:59:09.413720
CL:0000623,natural killer cell,2025-12-28T08:59:09.413722
CL:0000232,erythrocyte,2025-12-28T08:59:09.413724
CL:0000182,hepatocyte,2025-12-28T08:59:09.413727
CL:1001474,medium spiny neuron,2025-12-28T08:59:09.413729
CL:0000746,cardiac muscle cell,2025-12-28T08:59:09.413731
CL:0002548,fibroblast of cardiac tissue,2025-12-28T08:59:09.413733
CL:4030031,interstitial cell,2025-12-28T08:59:09.413736
CL:0000679,glutamatergic neuron,2025-12-28T08:59:09.413738
CL:0000128,oligodendrocyte,2025-12-28T08:59:09.413740
CL:0000038,erythroid progenitor cell,2025-12-28T08:59:09.413743
CL:0000125,glial cell,2025-12-28T08:59:09.413745
CL:0000899,T-helper 17 cell,2025-12-28T08:59:09.413747
CL:0000214,synovial cell,2025-12-28T08:59:09.413749
CL:0000787,memory B cell,2025-12-28T08:59:09.413752
CL:0000786,plasma cell,2025-12-28T08:59:09.413754
CL:0000148,melanocyte,2025-12-28T08:59:09.413756
CL:0000169,type B pancreatic cell,2025-12-28T08:59:09.413758
CL:0000625,"CD8-positive, alpha-beta T cell",2025-12-28T08:59:09.413761
CL:0000233,platelet,2025-12-28T08:59:09.413763
CL:0000740,retinal ganglion cell,2025-12-28T08:59:09.413765
CL:0000107,autonomic neuron,2025-12-28T08:59:09.413767
CL:0000101,sensory neuron,2025-12-28T08:59:09.413770
CL:0008002,skeletal muscle fiber,2025-12-28T08:59:09.413772
CL:0002558,fibroblast of villous mesenchyme,2025-12-28T08:59:09.413774
CL:0000138,chondrocyte,2025-12-28T08:59:09.413777
CL:0002301,type B synovial cell,2025-12-28T08:59:09.413779
CL:0000776,immature neutrophil,2025-12-28T08:59:09.413781
CL:0000312,keratinocyte,2025-12-28T08:59:09.413783
CL:0002320,connective tissue cell,2025-12-28T08:59:09.413785
CL:0000351,trophoblast cell,2025-12-28T08:59:09.413788
CL:0000136,adipocyte,2025-12-28T08:59:09.413790
CL:0000062,osteoblast,2025-12-28T08:59:09.413792
CL:0000092,osteoclast,2025-12-28T08:59:09.413794
CL:0002062,pulmonary alveolar type 1 cell,2025-12-28T08:59:09.413797
CL:0000067,ciliated epithelial cell,2025-12-28T08:59:09.413799
CL:0000216,Sertoli cell,2025-12-28T08:59:09.413801
CL:0000178,Leydig cell,2025-12-28T08:59:09.413804
CL:0000017,spermatocyte,2025-12-28T08:59:09.413806
CL:0000453,Langerhans cell,2025-12-28T08:59:09.413808
CL:0002368,respiratory tract epithelial cell,2025-12-28T08:59:09.413810
CL:0000071,blood vessel endothelial cell,2025-12-28T08:59:09.413813
CL:0000815,regulatory T cell,2025-12-28T08:59:09.413815
CL:0000980,plasmablast,2025-12-28T08:59:09.413818
CL:0000584,enterocyte,2025-12-28T08:59:09.413820
CL:0000913,"effector memory CD8-positive, alpha-beta T cell",2025-12-28T08:59:09.413822
CL:0000894,DN1 thymic pro-T cell,2025-12-28T08:59:09.413825
CL:0000784,plasmacytoid dendritic cell,2025-12-28T08:59:09.413827
CL:0002038,T follicular helper cell,2025-12-28T08:59:09.413829
CL:0000359,vascular associated smooth muscle cell,2025-12-28T08:59:09.413831
CL:0000510,paneth cell,2025-12-28T08:59:09.413834
CL:0000186,myofibroblast cell,2025-12-28T08:59:09.413836
CL:0002620,skin fibroblast,2025-12-28T08:59:09.413838
CL:0000037,hematopoietic stem cell,2025-12-28T08:59:09.413841
CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",2025-12-28T08:59:09.413844
CL:0000219,motile cell,2025-12-28T08:59:09.413846
CL:0000065,ependymal cell,2025-12-28T08:59:09.413848
CL:0000844,germinal center B cell,2025-12-28T08:59:09.413850
CL:0000863,inflammatory macrophage,2025-12-28T08:59:09.413853
CL:0000095,neuron associated cell,2025-12-28T08:59:09.413855
CL:0000094,granulocyte,2025-12-28T08:59:09.413857
CL:0002553,fibroblast of lung,2025-12-28T08:59:09.413860
CL:0000545,T-helper 1 cell,2025-12-28T08:59:09.413862
CL:0000501,granulosa cell,2025-12-28T08:59:09.413866
CL:0000556,megakaryocyte,2025-12-28T08:59:09.413869
CL:1000494,nephron tubule epithelial cell,2025-12-28T08:59:09.413871
CL:1000497,kidney cell,2025-12-28T08:59:09.413873
CL:0002076,endo-epithelial cell,2025-12-28T08:59:09.413875
CL:0002586,retinal pigment epithelial cell,2025-12-28T08:59:09.413878
CL:0011101,chorionic trophoblast cell,2025-12-28T08:59:09.413880
CL:0002306,epithelial cell of proximal tubule,2025-12-28T08:59:09.413883
CL:0000333,migratory neural crest cell,2025-12-28T08:59:09.413885
CL:0002311,mammotroph,2025-12-28T08:59:09.413888
CL:0000158,club cell,2025-12-28T08:59:09.413890
CL:0000210,photoreceptor cell,2025-12-28T08:59:09.413892
CL:0000498,inhibitory interneuron,2025-12-28T08:59:09.413894
CL:0011012,neural crest cell,2025-12-28T08:59:09.413896
CL:0002573,Schwann cell,2025-12-28T08:59:09.413899
CL:1000692,kidney interstitial fibroblast,2025-12-28T08:59:09.413901
CL:0000099,interneuron,2025-12-28T08:59:09.413903
CL:0007011,enteric neuron,2025-12-28T08:59:09.413905
CL:0011005,GABAergic interneuron,2025-12-28T08:59:09.413908
CL:0000100,motor neuron,2025-12-28T08:59:09.413910
CL:0011020,neural progenitor cell,2025-12-28T08:59:09.413912
CL:0010012,cerebral cortex neuron,2025-12-28T08:59:09.413914
CL:0010011,cerebral cortex GABAergic interneuron,2025-12-28T08:59:09.413917
CL:0000492,CD4-positive helper T cell,2025-12-28T08:59:09.413919
CL:0002129,regular atrial cardiac myocyte,2025-12-28T08:59:09.413922
CL:0002231,epithelial cell of prostate,2025-12-28T08:59:09.413924
CL:0000653,podocyte,2025-12-28T08:59:09.413926
CL:0002064,pancreatic acinar cell,2025-12-28T08:59:09.413929
CL:0002410,pancreatic stellate cell,2025-12-28T08:59:09.413931
CL:0000891,foam cell,2025-12-28T08:59:09.413933
CL:0002255,stromal cell of endometrium,2025-12-28T08:59:09.413935
CL:0000598,pyramidal neuron,2025-12-28T08:59:09.413938
CL:0000617,GABAergic neuron,2025-12-28T08:59:09.413940
CL:0000648,kidney granular cell,2025-12-28T08:59:09.413942
CL:0002252,epithelial cell of esophagus,2025-12-28T08:59:09.413945
CL:0002367,trabecular meshwork cell,2025-12-28T08:59:09.413947
CL:0002257,epithelial cell of thyroid gland,2025-12-28T08:59:09.413949
CL:0000650,mesangial cell,2025-12-28T08:59:09.413952
CL:0000632,hepatic stellate cell,2025-12-28T08:59:09.413954
CL:1000398,endothelial cell of hepatic sinusoid,2025-12-28T08:59:09.413956
CL:0000188,cell of skeletal muscle,2025-12-28T08:59:09.413959
CL:0002293,epithelial cell of thymus,2025-12-28T08:59:09.413961
CL:0011109,hypocretin-secreting neuron,2025-12-28T08:59:09.413963
CL:0000700,dopaminergic neuron,2025-12-28T08:59:09.413966
CL:0000121,Purkinje cell,2025-12-28T08:59:09.413968
CL:0011108,colon epithelial cell,2025-12-28T08:59:09.413970
CL:0000546,T-helper 2 cell,2025-12-28T08:59:09.413973
CL:0000164,enteroendocrine cell,2025-12-28T08:59:09.413975
CL:0011110,histaminergic neuron,2025-12-28T08:59:09.413977
CL:2000030,hypothalamus cell,2025-12-28T08:59:09.413979
CL:0002618,endothelial cell of umbilical vein,2025-12-28T08:59:09.413982
