gene_symbol,gene_hgnc_id,disease_label,disease_mondo_id,classification,go_id,go_label,mapping_type,confidence,evidence_category
AARS1,HGNC:20,Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
AARS2,HGNC:21022,mitochondrial disease,MONDO:0044970,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
AARS2,HGNC:21022,mitochondrial disease,MONDO:0044970,Definitive,GO:0003674,molecular_function,inferred,low,Functional Alteration
AARS2,HGNC:21022,mitochondrial disease,MONDO:0044970,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
AARS2,HGNC:21022,mitochondrial disease,MONDO:0044970,Definitive,GO:0006412,translation,keyword,high,keyword
AARS2,HGNC:21022,mitochondrial disease,MONDO:0044970,Definitive,GO:0005739,mitochondrion,keyword,medium,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0003674,molecular_function,inferred,low,Functional Alteration
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0006810,transport,keyword,medium,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0016020,membrane,keyword,medium,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0005488,binding,keyword,medium,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0005215,transporter activity,keyword,high,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0008152,metabolic process,keyword,medium,keyword
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCA3,HGNC:33,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Definitive,GO:0006412,translation,inferred,medium,Expression
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0038023,signaling receptor activity,keyword,medium,keyword
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0006412,translation,inferred,medium,Expression
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0003674,molecular_function,direct,high,Biochemical Function
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0006810,transport,keyword,medium,keyword
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0005215,transporter activity,keyword,high,keyword
ABCA4,HGNC:34,ABCA4-related retinopathy,MONDO:0800406,Definitive,GO:0016020,membrane,keyword,medium,keyword
ABCB4,HGNC:45,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCB4,HGNC:45,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,Definitive,GO:0003674,molecular_function,direct,high,Biochemical Function
ABCB4,HGNC:45,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
ABCB4,HGNC:45,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCB4,HGNC:45,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,Definitive,GO:0006412,translation,inferred,medium,Expression
ABCD1,HGNC:61,adrenoleukodystrophy,MONDO:0018544,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCD1,HGNC:61,adrenoleukodystrophy,MONDO:0018544,Definitive,GO:0003674,molecular_function,inferred,low,Functional Alteration
ABCD1,HGNC:61,adrenoleukodystrophy,MONDO:0018544,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCD1,HGNC:61,adrenoleukodystrophy,MONDO:0018544,Definitive,GO:0006412,translation,inferred,medium,Expression
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0003674,molecular_function,direct,high,Biochemical Function
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0005794,Golgi apparatus,keyword,high,keyword
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0006412,translation,inferred,medium,Expression
ABCG5,HGNC:13886,sitosterolemia,MONDO:0008863,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCG8,HGNC:13887,sitosterolemia,MONDO:0008863,Definitive,GO:0008150,biological_process,inferred,low,Model Systems
ABCG8,HGNC:13887,sitosterolemia,MONDO:0008863,Definitive,GO:0003674,molecular_function,direct,high,Biochemical Function
ABCG8,HGNC:13887,sitosterolemia,MONDO:0008863,Definitive,GO:0003824,catalytic activity,inferred,medium,Biochemical Function
ABCG8,HGNC:13887,sitosterolemia,MONDO:0008863,Definitive,GO:0010467,gene expression,direct,high,Expression
ABCG8,HGNC:13887,sitosterolemia,MONDO:0008863,Definitive,GO:0006412,translation,inferred,medium,Expression
ABHD12,HGNC:15868,PHARC syndrome,MONDO:0012984,Definitive,GO:0010467,gene expression,direct,high,Expression
ABHD12,HGNC:15868,PHARC syndrome,MONDO:0012984,Definitive,GO:0006412,translation,inferred,medium,Expression
