curie,label,root,retrieved_at
CL:0000005,neural crest derived fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000057,fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000058,chondroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000060,odontoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000061,cementoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000062,osteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000134,mesenchymal stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000135,circulating fibrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000136,adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000137,osteocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000138,chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000140,odontocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000141,cementocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000142,hyalocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000153,glycosaminoglycan secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000186,myofibroblast cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000324,metanephric mesenchyme stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000327,extracellular matrix secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000346,hair follicle dermal papilla cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000383,nephrogenic mesenchyme stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000388,tendon cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000389,socket cell (sensu Nematoda),CL:0002320,2026-08-29T15:27:59+00:00
CL:0000425,pore cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000427,GLR cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000432,reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000448,white adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000449,brown adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000484,connective tissue type mast cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000499,stromal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000503,theca cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000566,angioblastic mesenchymal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000632,hepatic stellate cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000650,mesangial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000658,cuticle secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000659,eggshell secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000660,glycocalyx secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000667,collagen secreting cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000669,pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000688,perijunctional fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000708,leptomeningeal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000742,periarticular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000743,hypertrophic chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0000744,columnar chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0001039,terminally differentiated osteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0001040,non-terminally differentiated osteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0001070,beige adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002094,interstitial cell of ovary,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002095,hilus cell of ovary,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002132,stromal cell of ovary,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002133,stromal cell of ovarian cortex,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002134,stromal cell of ovarian medulla,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002148,dental pulp cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002173,extraglomerular mesangial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002240,marrow fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002241,pulmonary interstitial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002255,stromal cell of endometrium,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002301,type B synovial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002333,neural crest derived adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002334,preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002335,brown preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002363,keratocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002367,trabecular meshwork cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002410,pancreatic stellate cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002462,adipose dendritic cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002463,SIRPa-positive adipose dendritic cell,CL:0002320,2026-08-29T15:27:59+00:00
