curie,label,retrieved_at
887,ATP hydrolysis activity,2026-03-17T19:39:29.616328
GO:0000012,single strand break repair,2026-03-19T15:58:15.156823
GO:0000027,ribosomal large subunit assembly,2026-04-16T12:31:24.767975
GO:0000030,mannosyltransferase activity,2026-05-17T22:47:16.964798
GO:0000038,very long-chain fatty acid metabolic process,2026-03-17T19:49:40.996718
GO:0000050,urea cycle,2026-03-17T19:49:53.149425
GO:0000075,cell cycle checkpoint signaling,2026-03-17T19:50:48.309619
GO:0000077,DNA damage checkpoint signaling,2026-05-09T18:41:32.013634
GO:0000082,G1/S transition of mitotic cell cycle,2026-03-17T19:50:48.305633
GO:0000096,sulfur amino acid metabolic process,2026-03-19T16:11:03.528740
GO:0000104,succinate dehydrogenase activity,2026-03-17T19:49:58.812839
GO:0000122,negative regulation of transcription by RNA polymerase II,2026-04-14T01:01:24.667758
GO:0000139,Golgi membrane,2026-04-25T17:54:42.447815
GO:0000165,MAPK cascade,2026-03-17T19:50:22.064324
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2026-03-17T19:55:49.808535
GO:0000226,microtubule cytoskeleton organization,2026-04-25T18:24:23.950218
GO:0000266,mitochondrial fission,2026-03-17T19:49:53.155410
GO:0000271,polysaccharide biosynthetic process,2026-05-04T20:03:40.698879
GO:0000375,"RNA splicing, via transesterification reactions",2026-03-19T15:56:23.794038
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",2026-03-17T19:53:16.010287
GO:0000398,"mRNA splicing, via spliceosome",2026-04-16T12:24:15.095937
GO:0000422,autophagy of mitochondrion,2026-03-17T19:49:53.159533
GO:0000423,mitophagy,2026-03-17T19:55:31.505623
GO:0000722,telomere maintenance via recombination,2026-05-08T17:10:20.825566
GO:0000723,telomere maintenance,2026-03-19T16:10:23.867872
GO:0000724,double-strand break repair via homologous recombination,2026-03-19T15:58:15.150353
GO:0000729,DNA double-strand break processing,2026-05-27T19:03:39.030726
GO:0000785,chromatin,2026-03-19T16:11:00.471909
GO:0000786,nucleosome,2026-03-19T16:11:00.478556
GO:0000902,cell morphogenesis,2026-05-03T15:42:33.148225
GO:0000976,transcription cis-regulatory region binding,2026-05-03T19:23:06.570451
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",2026-05-10T16:21:10.428373
GO:0001171,reverse transcription,2026-03-19T15:55:26.245982
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",2026-04-30T20:25:17.078910
GO:0001501,skeletal system development,2026-03-17T19:52:03.641086
GO:0001503,ossification,2026-03-17T19:50:01.644922
GO:0001508,action potential,2026-05-30T23:11:41.494056
GO:0001516,prostaglandin biosynthetic process,2026-04-22T22:11:11.446678
GO:0001522,pseudouridine synthesis,2026-05-07T09:03:05.130991
GO:0001523,retinoid metabolic process,2026-03-17T19:52:47.848646
GO:0001525,angiogenesis,2026-03-17T19:49:55.905371
GO:0001541,ovarian follicle development,2026-04-14T01:01:24.660191
GO:0001558,regulation of cell growth,2026-05-07T09:31:07.037718
GO:0001561,fatty acid alpha-oxidation,2026-05-07T14:04:00.409826
GO:0001568,blood vessel development,2026-03-17T19:51:37.345847
GO:0001570,vasculogenesis,2026-03-17T19:49:55.901997
GO:0001573,ganglioside metabolic process,2026-05-04T06:51:43.504305
GO:0001649,osteoblast differentiation,2026-03-19T15:56:41.975234
GO:0001654,eye development,2026-03-17T19:52:44.978738
GO:0001656,metanephros development,2026-04-12T16:33:56.315927
GO:0001659,temperature homeostasis,2026-03-17T19:50:34.794985
GO:0001666,response to hypoxia,2026-03-17T19:49:58.817436
GO:0001676,long-chain fatty acid metabolic process,2026-03-19T16:00:31.979697
GO:0001678,intracellular glucose homeostasis,2026-03-17T19:55:18.865855
GO:0001750,photoreceptor outer segment,2026-04-12T18:28:40.100944
GO:0001755,neural crest cell migration,2026-03-19T15:57:59.865183
GO:0001764,neuron migration,2026-03-19T16:04:50.580689
GO:0001774,microglial cell activation,2026-03-19T15:56:23.802139
GO:0001788,antibody-dependent cellular cytotoxicity,2026-05-15T19:41:55.873135
GO:0001802,type III hypersensitivity,2026-05-24T15:35:40.514717
GO:0001806,type IV hypersensitivity,2026-03-19T16:02:36.242668
GO:0001816,cytokine production,2026-03-17T19:49:15.261360
GO:0001817,regulation of cytokine production,2026-05-06T20:02:04.533276
GO:0001819,positive regulation of cytokine production,2026-03-19T16:14:18.112676
GO:0001820,serotonin secretion,2026-05-08T13:53:51.538315
GO:0001822,kidney development,2026-03-19T16:12:59.864246
GO:0001837,epithelial to mesenchymal transition,2026-03-17T19:50:15.986050
GO:0001867,"complement activation, lectin pathway",2026-04-14T13:46:22.802143
GO:0001889,liver development,2026-03-17T19:54:39.670226
GO:0001890,placenta development,2026-03-17T19:54:22.499736
GO:0001913,T cell mediated cytotoxicity,2026-03-17T19:49:20.750557
GO:0001917,photoreceptor inner segment,2026-03-19T19:20:56.260679
GO:0001942,hair follicle development,2026-03-19T19:16:06.695971
GO:0001944,vasculature development,2026-05-04T16:31:14.681309
GO:0001945,lymph vessel development,2026-03-19T16:16:32.321200
GO:0001946,lymphangiogenesis,2026-03-19T15:59:49.330338
GO:0001947,heart looping,2026-04-25T19:32:44.747418
GO:0001957,intramembranous ossification,2026-03-19T16:02:02.844706
GO:0001958,endochondral ossification,2026-03-17T19:50:01.640812
GO:0001963,"synaptic transmission, dopaminergic",2026-05-21T20:13:22.616796
GO:0001974,blood vessel remodeling,2026-03-19T16:04:07.021677
GO:0002001,renin secretion into blood stream,2026-04-22T23:07:07.575843
GO:0002016,regulation of blood volume by renin-angiotensin,2026-03-17T19:54:22.511382
GO:0002018,renin-angiotensin regulation of aldosterone production,2026-03-19T16:01:18.669630
GO:0002027,regulation of heart rate,2026-04-28T10:03:53.555442
GO:0002040,sprouting angiogenesis,2026-04-30T14:17:46.833884
GO:0002062,chondrocyte differentiation,2026-03-19T15:55:14.209115
GO:0002063,chondrocyte development,2026-05-29T18:30:31.844521
GO:0002087,regulation of respiratory gaseous exchange by nervous system process,2026-03-19T15:55:17.251919
GO:0002088,lens development in camera-type eye,2026-04-04T12:28:23.861626
GO:0002115,store-operated calcium entry,2026-05-25T13:10:44.820873
GO:0002218,activation of innate immune response,2026-03-19T16:07:31.525530
GO:0002221,pattern recognition receptor signaling pathway,2026-03-19T16:02:12.245692
GO:0002224,toll-like receptor signaling pathway,2026-03-17T19:53:06.844326
GO:0002230,positive regulation of defense response to virus by host,2026-05-26T21:23:38.610345
GO:0002237,response to molecule of bacterial origin,2026-03-19T16:14:18.105471
GO:0002244,hematopoietic progenitor cell differentiation,2026-03-19T16:06:56.073294
GO:0002250,adaptive immune response,2026-03-17T19:49:15.272364
GO:0002253,activation of immune response,2026-03-19T15:56:20.512317
GO:0002262,myeloid cell homeostasis,2026-03-19T16:01:28.042595
GO:0002292,T cell differentiation involved in immune response,2026-03-19T16:02:24.241279
GO:0002314,germinal center B cell differentiation,2026-05-03T15:42:44.659538
GO:0002317,plasma cell differentiation,2026-03-19T16:03:03.622115
GO:0002376,immune system process,2026-03-17T19:55:22.073144
GO:0002377,immunoglobulin production,2026-03-17T19:49:20.745689
GO:0002418,immune response to tumor cell,2026-03-19T15:55:26.259594
GO:0002419,T cell mediated cytotoxicity directed against tumor cell target,2026-03-19T16:15:10.311969
GO:0002432,granuloma formation,2026-03-17T19:51:19.229176
GO:0002437,inflammatory response to antigenic stimulus,2026-03-19T15:57:07.589083
GO:0002443,leukocyte mediated immunity,2026-05-03T20:36:14.181048
GO:0002455,humoral immune response mediated by circulating immunoglobulin,2026-05-06T22:33:39.528838
GO:0002456,T cell mediated immunity,2026-03-17T19:53:22.020997
GO:0002458,peripheral T cell tolerance induction,2026-05-12T21:09:11.572445
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2026-03-19T16:09:53.554603
GO:0002467,germinal center formation,2026-03-17T19:53:06.871351
GO:0002468,dendritic cell antigen processing and presentation,2026-03-19T16:02:36.236618
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2026-03-17T19:50:28.109047
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,2026-03-19T15:55:32.165723
GO:0002512,central T cell tolerance induction,2026-05-12T13:35:31.499952
GO:0002544,chronic inflammatory response,2026-03-19T16:10:20.810352
GO:0002682,regulation of immune system process,2026-03-19T15:57:47.928257
GO:0002683,negative regulation of immune system process,2026-05-10T10:22:45.995079
GO:0002710,negative regulation of T cell mediated immunity,2026-03-19T16:09:40.941456
GO:0002757,immune response-activating signaling pathway,2026-03-19T16:18:05.647750
GO:0002931,response to ischemia,2026-03-17T19:52:09.431933
GO:0002934,desmosome organization,2026-04-25T23:10:56.482621
GO:0002936,bradykinin biosynthetic process,2026-05-10T13:11:36.213907
GO:0003002,regionalization,2026-03-17T19:54:49.788699
GO:0003007,heart morphogenesis,2026-05-02T01:33:39.545446
GO:0003009,skeletal muscle contraction,2026-03-17T19:50:51.266282
GO:0003018,vascular process in circulatory system,2026-05-16T03:34:50.713600
GO:0003066,positive regulation of heart rate by norepinephrine,2026-03-19T16:22:43.625692
GO:0003091,renal water homeostasis,2026-04-22T23:07:33.425343
GO:0003094,glomerular filtration,2026-04-14T13:34:57.058245
GO:0003096,renal sodium ion transport,2026-04-22T22:11:11.314132
GO:0003147,neural crest cell migration involved in heart formation,2026-03-19T16:13:16.154475
GO:0003151,outflow tract morphogenesis,2026-03-19T15:54:46.014883
GO:0003161,cardiac conduction system development,2026-04-30T20:30:32.355342
GO:0003179,heart valve morphogenesis,2026-03-19T16:19:43.163362
GO:0003181,atrioventricular valve morphogenesis,2026-03-19T16:11:00.463294
GO:0003209,cardiac atrium morphogenesis,2026-04-13T22:39:52.746601
GO:0003253,cardiac neural crest cell migration involved in outflow tract morphogenesis,2026-03-19T15:54:46.010016
GO:0003300,cardiac muscle hypertrophy,2026-03-17T19:54:22.516110
GO:0003333,amino acid transmembrane transport,2026-05-08T12:38:45.914974
GO:0003341,cilium movement,2026-03-17T19:49:29.562860
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,2026-03-19T15:59:24.489571
GO:0003382,epithelial cell morphogenesis,2026-03-19T16:03:03.617297
GO:0003406,retinal pigment epithelium development,2026-04-14T17:12:51.568977
GO:0003415,chondrocyte hypertrophy,2026-04-30T14:17:23.303336
GO:0003416,endochondral bone growth,2026-04-30T14:17:23.325297
GO:0003417,growth plate cartilage development,2026-04-30T14:16:38.162826
GO:0003418,growth plate cartilage chondrocyte differentiation,2026-03-19T15:55:14.213614
GO:0003682,chromatin binding,2026-05-03T19:23:06.563038
GO:0003824,catalytic activity,2026-03-17T19:49:53.142107
GO:0003844,"1,4-alpha-glucan branching enzyme activity",2026-05-07T20:31:00.987213
GO:0003857,(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity,2026-05-07T21:44:35.144462
GO:0003870,5-aminolevulinate synthase activity,2026-05-19T16:13:49.462015
GO:0003872,6-phosphofructokinase activity,2026-05-11T06:36:05.954269
GO:0003873,6-phosphofructo-2-kinase activity,2026-05-20T15:20:57.027813
GO:0003934,GTP cyclohydrolase I activity,2026-05-05T23:18:56.719782
GO:0003938,IMP dehydrogenase activity,2026-05-05T23:18:56.742309
GO:0003940,L-iduronidase activity,2026-05-20T05:13:27.245261
GO:0003978,UDP-glucose 4-epimerase activity,2026-05-18T07:50:24.560356
GO:0003985,acetyl-CoA C-acetyltransferase activity,2026-05-07T13:12:04.031655
GO:0003988,acetyl-CoA C-acyltransferase activity,2026-05-07T21:44:35.151845
GO:0003989,acetyl-CoA carboxylase activity,2026-05-20T20:33:34.519740
GO:0003995,acyl-CoA dehydrogenase activity,2026-05-07T16:09:53.225167
GO:0003997,acyl-CoA oxidase activity,2026-05-10T16:47:59.586557
GO:0003999,adenine phosphoribosyltransferase activity,2026-05-10T02:53:05.520668
GO:0004001,adenosine kinase activity,2026-04-30T14:18:01.524487
GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",2026-05-05T05:29:16.319308
GO:0004035,alkaline phosphatase activity,2026-05-04T23:08:35.512107
GO:0004042,"L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor",2026-05-08T03:35:56.520805
GO:0004047,aminomethyltransferase activity,2026-05-08T13:59:05.388144
GO:0004053,arginase activity,2026-05-04T14:46:57.147522
GO:0004055,argininosuccinate synthase activity,2026-05-04T13:32:45.761054
GO:0004056,argininosuccinate lyase activity,2026-05-04T14:46:57.198833
GO:0004058,aromatic-L-amino-acid decarboxylase activity,2026-05-06T14:27:31.638765
GO:0004065,arylsulfatase activity,2026-05-19T21:34:25.787014
GO:0004077,biotin--[biotin carboxyl-carrier protein] ligase activity,2026-05-20T20:33:34.482604
GO:0004087,carbamoyl-phosphate synthase (ammonia) activity,2026-05-04T18:30:22.450868
GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",2026-05-11T14:11:53.791482
GO:0004122,cystathionine beta-synthase activity,2026-05-05T00:39:57.336526
GO:0004128,"cytochrome-b5 reductase activity, acting on NAD(P)H",2026-05-09T06:10:15.049499
GO:0004129,cytochrome-c oxidase activity,2026-05-30T19:45:32.355612
GO:0004134,4-alpha-glucanotransferase activity,2026-05-05T15:44:05.235036
GO:0004135,"amylo-alpha-1,6-glucosidase activity",2026-05-05T15:44:05.241958
GO:0004300,enoyl-CoA hydratase activity,2026-05-07T21:44:35.136388
GO:0004308,exo-alpha-sialidase activity,2026-05-04T11:51:03.861827
GO:0004322,ferroxidase activity,2026-05-20T04:52:36.068408
GO:0004332,fructose-bisphosphate aldolase activity,2026-05-19T15:30:20.599193
GO:0004334,fumarylacetoacetase activity,2026-05-20T00:05:22.534911
GO:0004335,galactokinase activity,2026-05-18T07:50:24.544588
GO:0004336,galactosylceramidase activity,2026-05-18T16:01:32.217074
GO:0004346,glucose-6-phosphatase activity,2026-05-05T04:04:16.602847
GO:0004348,glucosylceramidase activity,2026-05-20T14:11:02.530422
GO:0004349,glutamate 5-kinase activity,2026-05-18T19:34:18.534411
GO:0004350,glutamate-5-semialdehyde dehydrogenase activity,2026-05-18T19:34:18.544075
GO:0004361,glutaryl-CoA dehydrogenase activity,2026-05-18T14:09:31.173668
GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",2026-05-19T22:05:20.648530
