curie,label,retrieved_at
HP:0040282,Frequent,2025-12-06T10:54:33.965576
HP:0040281,Very frequent,2025-12-06T10:54:33.965585
HP:0040284,Very rare,2025-12-06T10:54:33.965587
HP:0040280,Obligate,2025-12-06T10:54:33.965590
HP:0040285,Excluded,2025-12-06T10:54:33.965592
HP:0040286,Abnormal axial muscle morphology,2025-12-06T10:54:33.965594
HP:0040287,Axial muscle atrophy,2025-12-06T10:54:33.965596
HP:0040288,Nasogastric tube feeding,2025-12-06T10:54:33.965599
HP:0040289,Cyclically decreased total neutrophil count,2025-12-06T10:54:33.965601
HP:0040283,Occasional,2025-12-06T10:54:33.965603
HP:0002354,Memory impairment,2025-12-06T10:54:33.965606
HP:0002381,Aphasia,2025-12-06T10:54:33.965608
HP:0002186,Apraxia,2025-12-06T10:54:33.965610
HP:0009830,Peripheral neuropathy,2025-12-06T10:54:33.965612
HP:0001638,Cardiomyopathy,2025-12-06T10:54:33.965614
HP:0007710,Peripheral vitreous opacities,2025-12-06T10:54:33.965617
HP:0012378,Fatigue,2025-12-06T10:54:33.965619
HP:0001903,Anemia,2025-12-06T10:54:33.965621
HP:0002027,Abdominal pain,2025-12-06T10:54:33.965623
HP:0000953,Hyperpigmentation of the skin,2025-12-06T10:54:33.965626
HP:0001324,Muscle weakness,2025-12-06T10:54:33.965628
HP:0001824,Weight loss,2025-12-06T10:54:33.965630
HP:0002615,Hypotension,2025-12-06T10:54:33.965632
HP:0030083,Salt craving,2025-12-06T10:54:33.965635
HP:0004850,Recurrent deep vein thrombosis,2025-12-06T10:54:33.965637
HP:0001622,Premature birth,2025-12-06T10:54:33.965639
HP:0001873,Thrombocytopenia,2025-12-06T10:54:33.965642
HP:0100602,Preeclampsia,2025-12-06T10:54:33.965644
HP:0033505,Livedo reticularis,2025-12-06T10:54:33.965646
HP:0000823,Delayed puberty,2025-12-06T10:54:33.965648
HP:0000939,Osteoporosis,2025-12-06T10:54:33.965650
HP:0000815,Hypergonadotropic hypogonadism,2025-12-06T10:54:33.965653
HP:0000786,Primary amenorrhea,2025-12-06T10:54:33.965655
HP:0000147,Polycystic ovaries,2025-12-06T10:54:33.965657
HP:0000098,Tall stature,2025-12-06T10:54:33.965659
HP:0030828,Wheezing,2025-12-06T10:54:33.965662
HP:0012735,Cough,2025-12-06T10:54:33.965664
HP:0031352,Chest tightness,2025-12-06T10:54:33.965666
HP:0000961,Cyanosis,2025-12-06T10:54:33.965668
HP:0003546,Exercise intolerance,2025-12-06T10:54:33.965670
HP:0002360,Sleep disturbance,2025-12-06T10:54:33.965673
HP:0000739,Anxiety,2025-12-06T10:54:33.965675
HP:0000501,Glaucoma,2025-12-06T10:54:33.965677
HP:0000627,Posterior embryotoxon,2025-12-06T10:54:33.965679
HP:0002315,Headache,2025-12-06T10:54:33.965681
HP:0001945,Fever,2025-12-06T10:54:33.965684
HP:0000510,Rod-cone dystrophy,2025-12-06T10:54:33.965686
HP:0010442,Polydactyly,2025-12-06T10:54:33.965688
HP:0001956,Truncal obesity,2025-12-06T10:54:33.965690
HP:0001249,Intellectual disability,2025-12-06T10:54:33.965693
