curie,label,retrieved_at
ICD10CM:C22.0,Liver cell carcinoma,2026-04-12T16:52:03.497633
ICD10CM:C25.3,Malignant neoplasm of pancreatic duct,2026-04-12T16:52:03.502839
ICD10CM:C45.1,Mesothelioma of peritoneum,2026-07-31T06:32:54.662459
ICD10CM:C58,Malignant neoplasm of placenta,2026-08-01T00:01:22.762046
ICD10CM:C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis",2026-03-31T02:26:21.499678
ICD10CM:C81.9,"Hodgkin lymphoma, unspecified",2026-08-14T13:22:59.471739
ICD10CM:D58.0,Hereditary spherocytosis,2026-04-28T22:04:45.748419
ICD10CM:D58.1,Hereditary elliptocytosis,2026-05-09T04:57:52.182249
ICD10CM:E75.2,Other sphingolipidosis,2026-04-29T01:03:50.619406
ICD10CM:E83.00,"Disorder of copper metabolism, unspecified",2026-03-31T02:11:23.915862
ICD10CM:E88.41,MELAS syndrome,2026-08-27T00:13:55.563323
ICD10CM:F42,Obsessive-compulsive disorder,2026-06-21T16:02:50.965095
ICD10CM:F84.2,Rett's syndrome,2026-04-26T18:22:55.057046
ICD10CM:G12.1,Other inherited spinal muscular atrophy,2026-08-28T13:25:57.819423
ICD10CM:G37.3,Acute transverse myelitis in demyelinating disease of central nervous system,2026-02-09T22:43:23.614045
ICD10CM:G40.0,Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,2026-08-17T03:53:14.305777
ICD10CM:G40.81,Lennox-Gastaut syndrome,2026-08-17T03:48:17.928335
ICD10CM:G51.0,Bell's palsy,2026-03-31T01:51:49.531419
ICD10CM:G70.0,Myasthenia gravis,2026-04-28T22:05:11.413378
ICD10CM:G93.45,Developmental and epileptic encephalopathy,2026-08-17T03:50:16.601339
ICD10CM:H49.0,Third [oculomotor] nerve palsy,2026-08-20T07:33:57.324465
ICD10CM:I67.6,Nonpyogenic thrombosis of intracranial venous system,2026-07-28T12:19:33.014532
ICD10CM:I73.8,Other specified peripheral vascular diseases,2026-08-17T09:56:09.818938
ICD10CM:L23,Allergic contact dermatitis,2026-03-31T01:56:20.492534
ICD10CM:L24,Irritant contact dermatitis,2026-03-31T01:56:20.493328
ICD10CM:M85.2,Hyperostosis of skull,2026-02-09T22:43:23.614068
ICD10CM:O14.2,HELLP syndrome,2026-08-18T21:11:44.824720
ICD10CM:Q26.2,Total anomalous pulmonary venous connection,2026-07-28T12:13:19.031144
ICD10CM:Q44.7,Other congenital malformations of liver,2026-04-29T02:46:48.147781
ICD10CM:Q79.8,Other congenital malformations of musculoskeletal system,2026-08-05T14:42:37.490545
ICD10CM:Q81.0,Epidermolysis bullosa simplex,2026-03-31T01:59:48.897648
ICD10CM:Q81.1,Epidermolysis bullosa letalis,2026-03-22T04:05:08.185039
ICD10CM:Q81.2,Epidermolysis bullosa dystrophica,2026-03-22T04:05:08.219253
ICD10CM:Q81.8,Other epidermolysis bullosa,2026-03-31T02:07:32.343768
ICD10CM:Q81.9,"Epidermolysis bullosa, unspecified",2026-03-31T01:59:44.657298
ICD10CM:Q87.1,Congenital malformation syndromes predominantly associated with short stature,2026-07-06T20:37:34.801760
ICD10CM:Q87.4,Marfan syndrome,2026-05-23T15:20:04.845098
ICD10CM:Q93.5,Other deletions of part of a chromosome,2026-04-28T22:04:50.716737
ICD10CM:Q99.2,Fragile X chromosome,2026-05-23T21:09:01.570110
ICD10CM:T45.4,"Poisoning by, adverse effect of and underdosing of iron and its compounds",2026-08-23T13:58:17.759073
ICD10CM:T45.4X1A,"Poisoning by iron and its compounds, accidental (unintentional), initial encounter",2026-08-23T13:58:17.778308
ICD10CM:T45.4X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter",2026-08-23T13:58:17.795560
ICD10CM:T62.2,Toxic effect of other ingested (parts of) plant(s),2026-08-22T15:53:10.247963
ICD10CM:U07.0,Vaping-related disorder,2026-08-23T23:37:04.975353
