curie,label,retrieved_at
MAXO:0000011,physical therapy,2026-03-07T05:16:51.892779
MAXO:0000079,genetic counseling,2026-03-07T05:16:51.892790
MAXO:0000004,surgical procedure,2026-03-07T05:16:51.892794
MAXO:0000088,dietary intervention,2026-03-07T05:16:51.892797
MAXO:0001001,gene therapy,2026-03-07T05:16:51.892800
MAXO:0000058,pharmacotherapy,2026-03-07T05:16:51.892803
MAXO:0010039,organ transplantation,2026-03-07T05:16:51.892806
MAXO:0000950,supportive care,2026-03-07T05:16:51.892809
MAXO:0000573,antiretroviral therapy,2026-03-07T05:16:51.892811
MAXO:0000017,preventative therapy,2026-03-07T05:16:51.892814
MAXO:0000283,hormone modifying therapy,2026-03-07T05:16:51.892817
MAXO:0000106,nutritional supplementation,2026-03-07T05:16:51.892820
MAXO:0000077,behavioral counseling,2026-03-07T05:16:51.892823
MAXO:0000312,respiratory tract agent therapy,2026-03-07T05:16:51.892826
MAXO:0000015,biologic therapy,2026-03-07T05:16:51.892829
MAXO:0001017,vaccination,2026-03-07T05:16:51.892832
MAXO:0000458,hydrotherapy,2026-03-07T05:16:51.892835
MAXO:0000503,artificial respiration,2026-03-07T05:16:51.892838
MAXO:0000756,blood transfusion,2026-03-07T05:16:51.892841
MAXO:0000168,antiviral agent therapy,2026-03-07T05:16:51.892844
MAXO:0000267,gastrointestinal agent therapy,2026-03-07T05:16:51.892847
MAXO:0001014,medical action avoidance,2026-03-07T05:16:51.892850
MAXO:0000186,beta adrenergic agent therapy,2026-03-07T05:16:51.892853
MAXO:0000181,cardiovascular agent therapy,2026-03-07T05:16:51.892856
MAXO:0000652,ACE inhibitor therapy,2026-03-07T05:16:51.892859
MAXO:0000434,calcium channel blocking agent therapy,2026-03-07T05:16:51.892862
MAXO:0000014,radiation therapy,2026-03-07T05:16:51.892865
MAXO:0000647,chemotherapy,2026-03-07T05:16:51.892867
MAXO:0000601,renal dialysis,2026-03-07T05:16:51.892870
MAXO:0000259,insulin treatment,2026-03-07T05:16:51.892873
MAXO:0010203,echocardiography,2026-03-07T05:16:51.892876
MAXO:0035118,cardiac catheterization,2026-03-07T05:16:51.892879
MAXO:0000473,medical device implantation,2026-03-07T05:16:51.892882
MAXO:0000010,cognitive and behavioral intervention,2026-03-07T05:16:51.892885
MAXO:0000518,extubation procedure,2026-03-07T05:16:51.892888
