curie,label,retrieved_at
NCBITaxon:9606,Homo sapiens,2026-03-07T05:44:54.351859
NCBITaxon:10090,Mus musculus,2026-03-07T05:44:54.351869
NCBITaxon:11676,Human immunodeficiency virus 1,2026-03-07T05:44:54.351872
NCBITaxon:487,Neisseria meningitidis,2026-03-07T05:44:54.351875
NCBITaxon:1313,Streptococcus pneumoniae,2026-03-07T05:44:54.351878
NCBITaxon:727,Haemophilus influenzae,2026-03-07T05:44:54.351880
NCBITaxon:1639,Listeria monocytogenes,2026-03-07T05:44:54.351883
NCBITaxon:666,Vibrio cholerae,2026-03-07T05:44:54.351885
NCBITaxon:1496,Clostridioides difficile,2026-03-07T05:44:54.351888
NCBITaxon:12637,Dengue virus,2026-03-07T05:44:54.351890
NCBITaxon:1570291,Ebola virus,2026-03-07T05:44:54.351892
NCBITaxon:10407,Hepatitis B virus,2026-03-07T05:44:54.351895
NCBITaxon:3052230,Hepacivirus hominis,2026-03-07T05:44:54.351897
NCBITaxon:10244,Monkeypox virus,2026-03-07T05:44:54.351900
NCBITaxon:9544,Macaca mulatta,2026-03-07T05:44:54.351902
NCBITaxon:2697049,Severe acute respiratory syndrome coronavirus 2,2026-03-07T05:44:54.351905
NCBITaxon:408170,human gut metagenome,2026-03-07T05:44:54.351907
NCBITaxon:10798,Human parvovirus B19,2026-03-07T05:44:54.351910
NCBITaxon:6213,Echinococcus vogeli,2026-03-07T05:44:54.351912
NCBITaxon:562,Escherichia coli,2026-03-07T05:44:54.351915
NCBITaxon:1773,Mycobacterium tuberculosis,2026-03-07T05:44:54.351917
NCBITaxon:2039,Tropheryma whipplei,2026-03-07T05:44:54.351924
NCBITaxon:10376,human gammaherpesvirus 4,2026-03-07T05:44:54.351928
NCBITaxon:37296,Human gammaherpesvirus 8,2026-03-07T05:44:54.351931
NCBITaxon:11908,Human T-cell leukemia virus type I,2026-03-07T05:44:54.351933
NCBITaxon:493803,Merkel cell polyomavirus,2026-03-07T05:44:54.351936
NCBITaxon:333760,Human papillomavirus 16,2026-03-07T05:44:54.351938
NCBITaxon:210,Helicobacter pylori,2026-03-07T05:44:54.351941
NCBITaxon:6181,Schistosoma,2026-03-07T05:44:54.351943
NCBITaxon:6448,Gastropoda,2026-03-07T05:44:54.351945
NCBITaxon:6293,Wuchereria bancrofti,2026-03-07T05:44:54.351948
NCBITaxon:6279,Brugia malayi,2026-03-07T05:44:54.351950
NCBITaxon:42155,Brugia timori,2026-03-07T05:44:54.351952
NCBITaxon:7157,Culicidae,2026-03-07T05:44:54.351955
NCBITaxon:5658,Leishmania <genus>,2026-03-07T05:44:54.351957
NCBITaxon:7198,Phlebotominae,2026-03-07T05:44:54.351959
NCBITaxon:5693,Trypanosoma cruzi,2026-03-07T05:44:54.351962
NCBITaxon:70999,Triatominae,2026-03-07T05:44:54.351964
NCBITaxon:31285,Trypanosoma brucei gambiense,2026-03-07T05:44:54.351966
NCBITaxon:31286,Trypanosoma brucei rhodesiense,2026-03-07T05:44:54.351969
NCBITaxon:7394,Glossina morsitans,2026-03-07T05:44:54.351972
NCBITaxon:6252,Ascaris lumbricoides,2026-03-07T05:44:54.351974
NCBITaxon:36087,Trichuris trichiura,2026-03-07T05:44:54.351976
NCBITaxon:51022,Ancylostoma duodenale,2026-03-07T05:44:54.351979
NCBITaxon:51031,Necator americanus,2026-03-07T05:44:54.351981
NCBITaxon:6248,Strongyloides stercoralis,2026-03-07T05:44:54.351983
NCBITaxon:6282,Onchocerca volvulus,2026-03-07T05:44:54.351986
NCBITaxon:7190,Simuliidae,2026-03-07T05:44:54.351988
NCBITaxon:37124,Chikungunya virus,2026-03-07T05:44:54.351991
NCBITaxon:6204,Taenia solium,2026-03-07T05:44:54.351993
NCBITaxon:9825,Sus scrofa domesticus,2026-03-07T05:44:54.351995
NCBITaxon:11292,Lyssavirus rabies,2026-03-07T05:44:54.351998
NCBITaxon:1809,Mycobacterium ulcerans,2026-03-07T05:44:54.352000
NCBITaxon:7159,Aedes aegypti,2026-03-07T05:44:54.352003
NCBITaxon:7160,Aedes albopictus,2026-03-07T05:44:54.352005
NCBITaxon:318479,Dracunculus medinensis,2026-03-07T05:44:54.352007
NCBITaxon:813,Chlamydia trachomatis,2026-03-07T05:44:54.352009
NCBITaxon:1769,Mycobacterium leprae,2026-03-07T05:44:54.352012
NCBITaxon:52283,Sarcoptes scabiei,2026-03-07T05:44:54.352014
NCBITaxon:79923,Clonorchis sinensis,2026-03-07T05:44:54.352016
NCBITaxon:46835,Fasciola gigantica,2026-03-07T05:44:54.352019
NCBITaxon:6192,Fasciola hepatica,2026-03-07T05:44:54.352021
NCBITaxon:147828,Opisthorchis felineus,2026-03-07T05:44:54.352024
NCBITaxon:6198,Opisthorchis viverrini,2026-03-07T05:44:54.352026
NCBITaxon:34503,Paragonimus,2026-03-07T05:44:54.352029
NCBITaxon:27847,Echinostoma,2026-03-07T05:44:54.352031
NCBITaxon:168,Treponema pallidum subsp. pertenue,2026-03-07T05:44:54.352033
NCBITaxon:6210,Echinococcus granulosus,2026-03-07T05:44:54.352036
NCBITaxon:40355,Fonsecaea pedrosoi,2026-03-07T05:44:54.352038
NCBITaxon:86049,Cladophialophora carrionii,2026-03-07T05:44:54.352040
NCBITaxon:53436,Treponema pallidum subsp. endemicum,2026-03-07T05:44:54.352043
NCBITaxon:1747,Cutibacterium acnes,2026-03-07T05:44:54.352045
NCBITaxon:620,Shigella,2026-03-07T05:44:54.352048
NCBITaxon:11320,Influenza A virus,2026-03-07T05:44:54.352050
NCBITaxon:11520,Influenza B virus,2026-03-07T05:44:54.352053
NCBITaxon:5501,Coccidioides immitis,2026-03-07T05:44:54.352055
NCBITaxon:199306,Coccidioides posadasii,2026-03-07T05:44:54.352058
