curie,label,retrieved_at
SO:0000159,deletion,2026-09-15T20:08:47.825368
SO:0000188,intron,2026-09-15T20:08:57.966094
SO:0000198,noncoding_exon,2026-09-15T20:09:01.742502
SO:0000199,translocation,2026-09-15T20:08:52.786735
SO:0000204,five_prime_UTR,2026-09-15T20:08:59.234876
SO:0000205,three_prime_UTR,2026-09-15T20:09:00.513542
SO:0000316,CDS,2026-09-15T20:08:56.537584
SO:0000605,intergenic_region,2026-09-15T20:09:03.004541
SO:0000667,insertion,2026-09-15T20:08:49.053835
SO:0001019,copy_number_variation,2026-09-15T20:08:54.027817
SO:0001483,SNV,2026-09-15T20:08:46.591409
SO:0002162,short_tandem_repeat_expansion,2026-09-15T20:08:55.297117
SO:1000035,duplication,2026-09-15T20:08:50.321464
SO:1000036,inversion,2026-09-15T20:08:51.552792
