section	key	AD	LateAD	PD	PD_proxy	LBD
huge_score	ABCA7	200.075918576006	45.0	1.0	1.0	1.0
huge_score	AIF1	1.0	1.0	1.0	1.0	1.0
huge_score	APOE	24.36354644157884	20.0	1.0	1.0	45.0
huge_score	BIN1	3.0	3.0	1.0	1.0	3.0
huge_score	C1QA	1.0	1.0	1.0	1.0	1.0
huge_score	C3	1.2366024458165978	1.0	1.0	1.0	1.0
huge_score	CD33	45.0	45.0	1.0	1.0	1.0
huge_score	CD68	1.0	1.0	3.0	1.0	1.0
huge_score	CLU	46.10123589468604	45.0	1.0	1.0	1.0
huge_score	CR1	45.0	20.0	1.0	1.0	1.0
huge_score	CSF1R	1.0	1.0	1.0	1.0	1.0
huge_score	GBA1	1.0	1.0	45.0	20.0	350.0
huge_score	GPNMB	1.0	1.0	3.0	3.0	1.0
huge_score	HLA-DRA	3.0	3.0	3.0	3.0	1.0
huge_score	HLA-DRB1	45.0	3.0	45.0	45.0	1.0
huge_score	HLA-DRB5	3.0	3.0	3.0	3.0	1.0
huge_score	IL1B	1.0	1.0	1.0	1.0	1.0
huge_score	IL6	1.1456216668821502	1.0	1.0	1.0	1.0
huge_score	INPP5D	45.0	1.0	1.0	1.0	1.0
huge_score	LRRK2	1.0	1.0	713.2244726142014	45.0	1.0
huge_score	MS4A4A	45.0	45.0	1.0	1.0	1.0
huge_score	MS4A6A	20.0	20.0	1.0	1.0	1.0
huge_score	NLRP3	1.0384172334127677	1.0	1.2456392199713842	1.0	1.0
huge_score	PICALM	45.0	3.0	1.0	1.0	1.0
huge_score	PLCG2	3.0	1.0	1.0	1.0	1.0
huge_score	SNCA	1.0	1.0	45.768762822835505	45.0	3.0
huge_score	SPI1	20.0	45.0	1.611816440525298	1.0	1.0
huge_score	SYK	1.0	1.0	1.0	1.0	1.0
huge_score	TLR4	1.0	1.0	1.0	1.0	1.0
huge_score	TMEM175	8.592043085259169	1.0	350.0	350.0	45.0
huge_score	TNF	1.0	1.0	1.0	1.0	1.0
huge_score	TREM2	407.8510363366849	350.0	1.0419539378460356	1.0	1.0
huge_score	TYROBP	5.490842128144129	1.0	1.0	1.0	1.0
huge_score	VPS13C	1.0	1.0	8.876686110273363	1.0	1.0
