mondo_id	disease_name	n_dismech	direct_hpoa_ids	direct_n_hpoa	direct_n_exact	direct_n_more_specific	direct_n_more_general	direct_n_novel	direct_n_hpoa_only	direct_novel_terms	subtree_hpoa_ids	subtree_n_hpoa	subtree_n_exact	subtree_n_more_specific	subtree_n_more_general	subtree_n_novel	subtree_n_hpoa_only	subtree_novel_terms
MONDO:0019391	Fanconi anemia	180	ORPHA:84	106	73	48	4	55	33	HP:0000054;HP:0000133;HP:0000143;HP:0000148;HP:0000155;HP:0000164;HP:0000212;HP:0000217;HP:0000230;HP:0000307;HP:0000325;HP:0000402;HP:0000413;HP:0000691;HP:0000692;HP:0000704;HP:0000716;HP:0000739;HP:0000772;HP:0000789;HP:0000798;HP:0000821;HP:0000855;HP:0000882;HP:0001385;HP:0001513;HP:0001660;HP:0001696;HP:0001734;HP:0002032;HP:0002206;HP:0002247;HP:0002566;HP:0002745;HP:0002808;HP:0002937;HP:0002949;HP:0003119;HP:0003254;HP:0003452;HP:0004452;HP:0005235;HP:0005473;HP:0005775;HP:0006660;HP:0008209;HP:0008436;HP:0009804;HP:0010462;HP:0011014;HP:0011133;HP:0011800;HP:0011968;HP:0033667;HP:0034323	OMIM:227645;OMIM:227646;OMIM:227650;OMIM:300514;OMIM:600901;OMIM:603467;OMIM:605724;OMIM:609053;OMIM:609054;OMIM:610832;OMIM:613390;OMIM:613951;OMIM:614082;OMIM:614083;OMIM:615272;OMIM:616435;OMIM:617243;OMIM:617244;OMIM:617247;OMIM:617784;OMIM:617883;OMIM:621258;ORPHA:84	295	114	23	8	35	181	HP:0000133;HP:0000143;HP:0000148;HP:0000155;HP:0000212;HP:0000217;HP:0000230;HP:0000307;HP:0000402;HP:0000691;HP:0000704;HP:0000716;HP:0000739;HP:0000798;HP:0000855;HP:0000882;HP:0001385;HP:0001513;HP:0002206;HP:0002566;HP:0002745;HP:0002808;HP:0003119;HP:0003452;HP:0004452;HP:0005235;HP:0005473;HP:0005775;HP:0006660;HP:0008209;HP:0008436;HP:0010462;HP:0011014;HP:0011133;HP:0033667
MONDO:0015022	intellectual developmental disorder with dysmorphic facies and ptosis	50	OMIM:617333	38	15	1	1	33	23	HP:0000028;HP:0000218;HP:0000278;HP:0000286;HP:0000414;HP:0000505;HP:0000539;HP:0000612;HP:0000646;HP:0000664;HP:0000708;HP:0000729;HP:0000739;HP:0000998;HP:0001138;HP:0001212;HP:0001324;HP:0001513;HP:0001595;HP:0001627;HP:0001873;HP:0001903;HP:0002019;HP:0002020;HP:0002360;HP:0004209;HP:0007018;HP:0007099;HP:0009765;HP:0010628;HP:0011098;HP:0011230;HP:0100540	OMIM:617333	38	15	1	1	33	23	HP:0000028;HP:0000218;HP:0000278;HP:0000286;HP:0000414;HP:0000505;HP:0000539;HP:0000612;HP:0000646;HP:0000664;HP:0000708;HP:0000729;HP:0000739;HP:0000998;HP:0001138;HP:0001212;HP:0001324;HP:0001513;HP:0001595;HP:0001627;HP:0001873;HP:0001903;HP:0002019;HP:0002020;HP:0002360;HP:0004209;HP:0007018;HP:0007099;HP:0009765;HP:0010628;HP:0011098;HP:0011230;HP:0100540
MONDO:0030607	Bryant-Li-Bhoj neurodevelopmental syndrome 2	42	OMIM:619721	41	10	0	2	30	31	HP:0000028;HP:0000078;HP:0000219;HP:0000286;HP:0000316;HP:0000337;HP:0000431;HP:0000483;HP:0000486;HP:0000717;HP:0000750;HP:0000821;HP:0001250;HP:0001257;HP:0001276;HP:0001290;HP:0001363;HP:0001999;HP:0002119;HP:0002376;HP:0002538;HP:0007166;HP:0007370;HP:0008936;HP:0010864;HP:0012373;HP:0012448;HP:0031936;HP:0040010;HP:0100595	OMIM:619721	41	10	0	2	30	31	HP:0000028;HP:0000078;HP:0000219;HP:0000286;HP:0000316;HP:0000337;HP:0000431;HP:0000483;HP:0000486;HP:0000717;HP:0000750;HP:0000821;HP:0001250;HP:0001257;HP:0001276;HP:0001290;HP:0001363;HP:0001999;HP:0002119;HP:0002376;HP:0002538;HP:0007166;HP:0007370;HP:0008936;HP:0010864;HP:0012373;HP:0012448;HP:0031936;HP:0040010;HP:0100595
MONDO:0013787	psychomotor retardation, epilepsy, and craniofacial dysmorphism	53	OMIM:614501	31	23	0	3	27	8	HP:0000175;HP:0000201;HP:0000405;HP:0000520;HP:0000637;HP:0000717;HP:0000767;HP:0000821;HP:0001156;HP:0001249;HP:0001363;HP:0001800;HP:0002020;HP:0002104;HP:0002144;HP:0002360;HP:0002376;HP:0002510;HP:0002566;HP:0002650;HP:0002676;HP:0002835;HP:0007018;HP:0011664;HP:0011800;HP:0020174;HP:0100842	OMIM:614501	31	23	0	3	27	8	HP:0000175;HP:0000201;HP:0000405;HP:0000520;HP:0000637;HP:0000717;HP:0000767;HP:0000821;HP:0001156;HP:0001249;HP:0001363;HP:0001800;HP:0002020;HP:0002104;HP:0002144;HP:0002360;HP:0002376;HP:0002510;HP:0002566;HP:0002650;HP:0002676;HP:0002835;HP:0007018;HP:0011664;HP:0011800;HP:0020174;HP:0100842
MONDO:0019154	androgen insensitivity syndrome	41	OMIM:300068	14	7	4	3	27	7	HP:0000027;HP:0000047;HP:0000048;HP:0000051;HP:0000054;HP:0000062;HP:0000151;HP:0000716;HP:0000739;HP:0001061;HP:0001620;HP:0002221;HP:0002555;HP:0003251;HP:0008189;HP:0008655;HP:0008665;HP:0008689;HP:0010463;HP:0012888;HP:0025132;HP:0025134;HP:0025486;HP:0030088;HP:0031102;HP:0040307;HP:0100779	OMIM:300068;OMIM:312300;ORPHA:90797;ORPHA:99429	54	41	0	0	0	13	
MONDO:0009073	Ritscher-Schinzel syndrome 1	47	OMIM:220210	36	19	0	5	23	17	HP:0000218;HP:0000256;HP:0000319;HP:0000322;HP:0000396;HP:0000485;HP:0000954;HP:0001249;HP:0001513;HP:0001792;HP:0001838;HP:0001999;HP:0002066;HP:0002280;HP:0002721;HP:0002870;HP:0003124;HP:0005916;HP:0010557;HP:0010808;HP:0010880;HP:0012368;HP:0012385	OMIM:220210	36	19	0	5	23	17	HP:0000218;HP:0000256;HP:0000319;HP:0000322;HP:0000396;HP:0000485;HP:0000954;HP:0001249;HP:0001513;HP:0001792;HP:0001838;HP:0001999;HP:0002066;HP:0002280;HP:0002721;HP:0002870;HP:0003124;HP:0005916;HP:0010557;HP:0010808;HP:0010880;HP:0012368;HP:0012385
MONDO:0014336	intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	40	OMIM:615761	40	15	0	2	23	25	HP:0000023;HP:0000505;HP:0000709;HP:0000733;HP:0000739;HP:0001250;HP:0001252;HP:0001288;HP:0001510;HP:0001627;HP:0001999;HP:0002019;HP:0002072;HP:0002487;HP:0003189;HP:0007018;HP:0007021;HP:0007359;HP:0009763;HP:0011024;HP:0011097;HP:0011220;HP:0011834	OMIM:615761	40	15	0	2	23	25	HP:0000023;HP:0000505;HP:0000709;HP:0000733;HP:0000739;HP:0001250;HP:0001252;HP:0001288;HP:0001510;HP:0001627;HP:0001999;HP:0002019;HP:0002072;HP:0002487;HP:0003189;HP:0007018;HP:0007021;HP:0007359;HP:0009763;HP:0011024;HP:0011097;HP:0011220;HP:0011834
MONDO:0032894	neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy	35	OMIM:618741	14	5	5	2	23	9	HP:0000293;HP:0000307;HP:0000505;HP:0000574;HP:0000639;HP:0000648;HP:0001251;HP:0001332;HP:0001337;HP:0001344;HP:0001347;HP:0001508;HP:0002119;HP:0002151;HP:0002353;HP:0002376;HP:0002500;HP:0002510;HP:0002540;HP:0002719;HP:0003236;HP:0012448;HP:0033725	OMIM:618741	14	5	5	2	23	9	HP:0000293;HP:0000307;HP:0000505;HP:0000574;HP:0000639;HP:0000648;HP:0001251;HP:0001332;HP:0001337;HP:0001344;HP:0001347;HP:0001508;HP:0002119;HP:0002151;HP:0002353;HP:0002376;HP:0002500;HP:0002510;HP:0002540;HP:0002719;HP:0003236;HP:0012448;HP:0033725
MONDO:0032919	intellectual developmental disorder 62	32	OMIM:618793	14	7	2	0	23	7	HP:0000218;HP:0000276;HP:0000540;HP:0000639;HP:0000709;HP:0000718;HP:0000733;HP:0000739;HP:0000750;HP:0000767;HP:0001251;HP:0001252;HP:0001263;HP:0001332;HP:0001337;HP:0002013;HP:0002076;HP:0002360;HP:0002376;HP:0007018;HP:0031491;HP:0100704;HP:0100716	OMIM:618793	14	7	2	0	23	7	HP:0000218;HP:0000276;HP:0000540;HP:0000639;HP:0000709;HP:0000718;HP:0000733;HP:0000739;HP:0000750;HP:0000767;HP:0001251;HP:0001252;HP:0001263;HP:0001332;HP:0001337;HP:0002013;HP:0002076;HP:0002360;HP:0002376;HP:0007018;HP:0031491;HP:0100704;HP:0100716
MONDO:0013118	Nijmegen breakage syndrome-like disorder	28	OMIM:613078	11	3	3	1	21	8	HP:0000028;HP:0000278;HP:0000340;HP:0000347;HP:0000518;HP:0000957;HP:0001000;HP:0001156;HP:0001508;HP:0001873;HP:0001875;HP:0001888;HP:0001903;HP:0001915;HP:0002164;HP:0002721;HP:0002745;HP:0005528;HP:0006480;HP:0010976;HP:0011133	OMIM:613078	11	3	3	1	21	8	HP:0000028;HP:0000278;HP:0000340;HP:0000347;HP:0000518;HP:0000957;HP:0001000;HP:0001156;HP:0001508;HP:0001873;HP:0001875;HP:0001888;HP:0001903;HP:0001915;HP:0002164;HP:0002721;HP:0002745;HP:0005528;HP:0006480;HP:0010976;HP:0011133
