dismech_name	source	file	mindmap_title	nodes	url
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	Apixaban rivroxaban atrial fibrillation	39	https://www.sciqst.com/mindmaps/E7zJ5i8YvAaJ
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	Atrial fibrillation and athletas	45	https://www.sciqst.com/mindmaps/ngRvld1jaWpd
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	Atrial fibrillation and athletas	54	https://www.sciqst.com/mindmaps/Cw23_yZG3iBV
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	Atrial fibrillation and athletes	35	https://www.sciqst.com/mindmaps/cHTl9MDgEXFn
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	Which parameter can i use when i want to evaluate an aortic regurgitation of a patient with atrial fibrillation and when i can&#39;t use Pisa	42	https://www.sciqst.com/mindmaps/gel4j6xn7gB6
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	atrial fibrillation and athletes	41	https://www.sciqst.com/mindmaps/XLuEzWlHHyFk
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	atrial fibrillation and sports	43	https://www.sciqst.com/mindmaps/k6m0beQHZjRH
Atrial Fibrillation	KB	Atrial_Fibrillation.yaml	atrial fibrillation rythm control	18	https://www.sciqst.com/mindmaps/gyczB9l1QgnT
Bacterial meningitis	KB	Bacterial_meningitis.yaml	Dexamethazone in bacterial meningitis	54	https://www.sciqst.com/mindmaps/sHq8k8WMxTE4
Cauda Equina Syndrome	KB	Cauda_Equina_Syndrome.yaml	Cauda equina syndrome	52	https://www.sciqst.com/mindmaps/JT5WHqMn5PEg
Cerebral Palsy	KB	Cerebral_Palsy.yaml	Spasticity in cerebral palsy	63	https://www.sciqst.com/mindmaps/Qj9UIMSWzobM
Cerebral Palsy	KB	Cerebral_Palsy.yaml	Spasticity in cerebral palsy	67	https://www.sciqst.com/mindmaps/Dt9m2fQ60fdF
Cervical Cancer	KB	Cervical_Cancer.yaml	Cervical cancer	39	https://www.sciqst.com/mindmaps/g0sRRLWOyWHV
Cervical Cancer	KB	Cervical_Cancer.yaml	Cervical cancer	55	https://www.sciqst.com/mindmaps/42stfiQy4lbr
Cervical Cancer	KB	Cervical_Cancer.yaml	Cervical cancer	55	https://www.sciqst.com/mindmaps/XCRtC9MVHpYD
Cholangiocarcinoma	KB	Cholangiocarcinoma.yaml	Post hepatectomy ascites in patinet liver intra hepatic cholangiocarcinoma	56	https://www.sciqst.com/mindmaps/pRLLGBR214Ao
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Chronic kidney disease	56	https://www.sciqst.com/mindmaps/VuXbEaBCebxo
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Semaglutide in Chronic Kidney Disease, a milestone?	44	https://www.sciqst.com/mindmaps/cbXbUB1AwzHc
Chronic Pancreatitis	KB	Chronic_Pancreatitis.yaml	What is the best way to diagnose and treat early chronic pancreatitis	69	https://www.sciqst.com/mindmaps/RrXXkzqmgH-l
Dermatomyositis	KB	Dermatomyositis.yaml	46-year-old man with dermatomyositis on methotrexate presents with fever, headache, diplopia, dysphagia, and right hemiparesis. 📉Progressive decline despite early treatment. MRI Day 1 ➡️ Day 4 ➡️ CT Day 8. What’s the diagnosis?	38	https://www.sciqst.com/mindmaps/n75a2A_f_vPh
Heart Failure	KB	Heart_Failure.yaml	Heart Failure treatment in CKD patients	46	https://www.sciqst.com/mindmaps/1X1_pqYNX_yq
Heart Failure	KB	Heart_Failure.yaml	Heart Failure treatment in CKD patients	67	https://www.sciqst.com/mindmaps/w3_XNeXOOcFB
Heart Failure	KB	Heart_Failure.yaml	Heart failure	70	https://www.sciqst.com/mindmaps/5wcmndOPveXV
Heart Failure	KB	Heart_Failure.yaml	Stem cell treatment for heart failure	50	https://www.sciqst.com/mindmaps/F-Zmn_0UejKp
Heart Failure	KB	Heart_Failure.yaml	What is the Prevalence of Accidental Overdosing Due to Confusion Caused by Different Brand Names of the Same Drug in Heart Failure and Chronic Hypertension Patients?	46	https://www.sciqst.com/mindmaps/jf5Q6VnA5jy_
Heart Failure	KB	Heart_Failure.yaml	heart failure	65	https://www.sciqst.com/mindmaps/KcgzaLpHqp3n
