go_id	go_label	reactions	kb_uses	kb_entries	ambiguity	shared_core	entries
GO:0004022	alcohol dehydrogenase (NAD+) activity	67	3	3	DISJOINT		Acute_Alcohol_Sensitivity;Alcohol_Use_Disorder;Ethylene_Glycol_Poisoning
GO:0015020	glucuronosyltransferase activity	65	4	3	SHARED_CORE	CHEBI:58052;CHEBI:58223	Crigler-Najjar_Syndrome;Gilberts_Syndrome;bilirubin_conjugation_transport
GO:0003988	acetyl-CoA C-acyltransferase activity	47	1	1	SHARED_CORE	CHEBI:57288	Mitochondrial_Trifunctional_Protein_Deficiency
GO:0004046	aminoacylase activity	42	1	1	DISJOINT		Aminoacylase_1_Deficiency
GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	36	1	1	DISJOINT		MEPAN_Syndrome
GO:0004029	aldehyde dehydrogenase (NAD+) activity	34	3	3	DISJOINT		Acute_Alcohol_Sensitivity;Alcohol_Use_Disorder;Pyridoxine-Dependent_Epilepsy
GO:0004806	triacylglycerol lipase activity	33	2	2	DISJOINT		Neutral_Lipid_Storage_Myopathy;Wolman_Disease
GO:0010945	coenzyme A diphosphatase activity	23	1	1	SHARED_CORE	CHEBI:58343	Siddiqi_Syndrome
GO:0003997	acyl-CoA oxidase activity	17	1	1	DISJOINT		Peroxisomal_Acyl-CoA_Oxidase_Deficiency
GO:0003857	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	14	2	2	DISJOINT		Long-Chain_3-Hydroxyacyl-CoA_Dehydrogenase_Deficiency;Mitochondrial_Trifunctional_Protein_Deficiency
GO:0017040	N-acylsphingosine amidohydrolase activity	14	1	1	SHARED_CORE	CHEBI:57756	Farber_Disease
GO:0004623	A2-type glycerophospholipase activity	12	1	1	DISJOINT		Adult_Onset_Dystonia_Parkinsonism
GO:0070991	medium-chain fatty acyl-CoA dehydrogenase activity	12	1	1	DISJOINT		MCAD_Deficiency
GO:0047751	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+) activity	10	1	1	DISJOINT		Post-SSRI_Sexual_Dysfunction
GO:0047620	acylglycerol kinase activity	8	1	1	DISJOINT		Sengers_syndrome
GO:0050061	long-chain fatty aldehyde dehydrogenase (NAD+) activity	8	1	1	DISJOINT		Sjogren-Larsson_Syndrome
GO:0050291	sphingosine N-acyltransferase activity	8	1	1	SHARED_CORE	CHEBI:57756	Progressive_Myoclonic_Epilepsy_Type_8
