species/code,symbol
human,CGA
human,CTLA4
human,GZMB
human,HLA-A
human,HLA-B
human,HLA-C
human,HLA-DMA
human,HLA-DMB
human,HLA-DOA
human,HLA-DOB
human,HLA-DPA1
human,HLA-DPB1
human,HLA-DQA1
human,HLA-DQA2
human,HLA-DQB1
human,HLA-DRA
human,HLA-DRB1
human,HLA-DRB3
human,HLA-DRB4
human,HLA-DRB5
human,HLA-E
human,HLA-F
human,HLA-G
human,IFNA1
human,IFNA2
human,IFNA4
human,IFNA5
human,IFNA6
human,IFNA7
human,IFNA8
human,IFNA10
human,IFNA13
human,IFNA14
human,IFNA16
human,IFNA17
human,IFNA21
human,FAS
human,IL2
human,FASLG
human,IL4
human,IL5
human,IL10
human,PRF1
human,TG
human,TPO
human,TSHB
human,TSHR
human,CD28
human,CD80
human,CD86
human,CD40
human,CD40LG
