species/code,symbol
human,APAF1
human,ATP5F1A
human,ATP5F1B
human,ATP5F1C
human,ATP5F1D
human,ATP5F1E
human,ATP5MC1
human,ATP5MC1P5
human,ATP5MC2
human,ATP5MC3
human,ATP5PB
human,ATP5PD
human,ATP5PF
human,ATP5PO
human,CASP3
human,CASP9
human,COX4I1
human,COX4I2
human,COX5A
human,COX5B
human,COX6A1
human,COX6A2
human,COX6B1
human,COX6B2
human,COX6C
human,COX6CP3
human,COX7A1
human,COX7A2
human,COX7A2L
human,COX7B
human,COX7B2
human,COX7C
human,COX8A
human,COX8C
human,CYC1
human,CYCS
human,GPR37
human,HTRA2
human,LRRK2
human,MT-ATP6
human,MT-ATP8
human,MT-CO1
human,MT-CO2
human,MT-CO3
human,MT-CYB
human,MT-ND1
human,MT-ND2
human,MT-ND3
human,MT-ND4
human,MT-ND4L
human,MT-ND5
human,MT-ND6
human,NDUFA1
human,NDUFA10
human,NDUFA2
human,NDUFA3
human,NDUFA4
human,NDUFA4L2
human,NDUFA5
human,NDUFA6
human,NDUFA7
human,NDUFA8
human,NDUFA9
human,NDUFAB1
human,NDUFB1
human,NDUFB10
human,NDUFB2
human,NDUFB3
human,NDUFB4
human,NDUFB5
human,NDUFB6
human,NDUFB7
human,NDUFB8
human,NDUFB9
human,NDUFC1
human,NDUFC2
human,NDUFS1
human,NDUFS2
human,NDUFS3
human,NDUFS4
human,NDUFS5
human,NDUFS6
human,NDUFS7
human,NDUFS8
human,NDUFV1
human,NDUFV2
human,NDUFV3
human,PARK7
human,PINK1
human,PPID
human,PRKN
human,SDHA
human,SDHB
human,SDHC
human,SDHCP5
human,SDHD
human,SEPTIN5
human,SLC18A1
human,SLC18A2
human,SLC25A31
human,SLC25A4
human,SLC25A5
human,SLC25A6
human,SLC6A3
human,SNCA
human,SNCAIP
human,TH
human,UBA1
human,UBA7
human,UBB
human,UBE2G1
human,UBE2G2
human,UBE2J1
human,UBE2J2
human,UBE2L3
human,UBE2L6
human,UCHL1
human,UQCR10
human,UQCR10P1
human,UQCR11
human,UQCRB
human,UQCRC1
human,UQCRC2
human,UQCRFS1
human,UQCRH
human,UQCRHL
human,UQCRQ
human,VDAC1
human,VDAC2
human,VDAC2P5
human,VDAC3
