mondo_id	label	dismech_status	1079_categories	category_source
MONDO:0008564	22q11.2 deletion syndrome	absent	Cardiac	metadata
MONDO:0008289	brain small vessel disease 1 with or without ocular anomalies	absent	Cardiac	metadata
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	absent	Cardiac	metadata
MONDO:0024573	familial hypertrophic cardiomyopathy	absent	Cardiac	metadata
MONDO:0009265	Gaucher disease type I	secondary_only	Cardiac	metadata
MONDO:0018485	glycogen storage disease due to acid maltase deficiency, late-onset	absent	Cardiac	metadata
MONDO:0008585	HELLP syndrome	secondary_only	Cardiac	metadata
MONDO:0010787	Kearns-Sayre syndrome	absent	Cardiac	metadata
MONDO:0010788	Leber hereditary optic neuropathy	absent	Cardiac	metadata
MONDO:0002442	long QT syndrome	secondary_only	Cardiac	metadata
MONDO:0019124	microscopic polyangiitis	secondary_only	Cardiac	metadata
MONDO:0011017	Naxos disease	absent	Cardiac	metadata
MONDO:0015924	pulmonary arterial hypertension	secondary_only	Cardiac	metadata
MONDO:0005396	thoracic aortic aneurysm	absent	Cardiac	metadata
MONDO:0016113	bulbospinal muscular atrophy	absent	Neurodegenerative	metadata
MONDO:0000437	cerebellar ataxia	absent	Neurodegenerative	metadata
MONDO:0015140	early-onset autosomal dominant Alzheimer disease	absent	Neurodegenerative	metadata
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	absent	Neurodegenerative	metadata
MONDO:0011866	pontocerebellar hypoplasia type 1A	secondary_only	Neurodegenerative	metadata
MONDO:0019079	proximal spinal muscular atrophy	secondary_only	Neurodegenerative	metadata
MONDO:0008458	spinocerebellar ataxia type 2	secondary_only	Neurodegenerative	metadata
MONDO:0012116	spinocerebellar ataxia type 8	secondary_only	Neurodegenerative	metadata
MONDO:0007163	episodic ataxia type 2	secondary_only	Neurodegenerative;Neurodevelopmental	metadata
MONDO:0008457	spinocerebellar ataxia type 6	absent	Neurodegenerative;Neurodevelopmental	metadata
MONDO:0700294	CTCF-related neurodevelopmental disorder	absent	Neurodevelopmental	metadata
MONDO:0100062	developmental and epileptic encephalopathy	absent	Neurodevelopmental	metadata
MONDO:0016532	Lennox-Gastaut syndrome	absent	Neurodevelopmental	metadata
MONDO:0012589	Pitt-Hopkins syndrome	absent	Neurodevelopmental	metadata
MONDO:0008698	achalasia	absent		
MONDO:0100464	acid sphingomyelinase deficiency	absent		
MONDO:0020122	acquired idiopathic inflammatory myopathy	absent		
MONDO:0019933	acromegaly	secondary_only		
MONDO:0019696	acromesomelic dysplasia	absent		
