reference,subclass,n,spearman_rho,pval,qval_BH
Astro,EN_L2_3_IT,581,0.5289974323764344,3.3193320266734618e-43,2.8214322226724424e-42
Astro,EN_L3_5_IT_1,581,0.5179086896399397,3.472900215207606e-41,1.9679767886176435e-40
Astro,EN_L3_5_IT_2,581,0.5696341511478449,2.773105063187107e-51,4.7142786074180815e-50
Astro,EN_L3_5_IT_3,581,0.4615254757559549,5.460875616522145e-32,1.8566977096175291e-31
Astro,EN_L5_6_NP,581,0.350111445207294,3.3874607525417085e-18,5.7586832793209046e-18
Astro,EN_L5_ET,581,0.16800406719469962,4.705326358618059e-05,4.705326358618059e-05
Astro,EN_L6B,581,0.2524017746453583,6.787490316546508e-10,7.692489025419376e-10
Astro,EN_L6_CT,581,0.32077201505965375,2.27038605750032e-15,2.968966382885034e-15
Astro,EN_L6_IT_1,581,0.401538951517517,6.4116133127353165e-24,1.3624678289562547e-23
Astro,EN_L6_IT_2,581,0.2352140177568154,9.576026403032625e-09,1.0174528053222164e-08
Astro,IN_ADARB2,581,0.2818902225276053,4.488814433480306e-12,5.450703240654657e-12
Astro,IN_LAMP5_LHX6,581,0.35198503917573315,2.1826416502180883e-18,4.122767561523055e-18
Astro,IN_LAMP5_RELN,581,0.4831036890320603,2.6205874253099366e-35,1.1137496557567231e-34
Astro,IN_PVALB,581,0.4075305112630599,1.1801024096934162e-24,2.8659629949697252e-24
Astro,IN_PVALB_CHC,581,0.43881989235570257,9.616480358862636e-29,2.72466943501108e-28
Astro,IN_SST,581,0.32859381676544624,4.2863519048654163e-16,6.624362034792007e-16
Astro,IN_VIP,581,0.3211439477289934,2.099651462132636e-15,2.968966382885034e-15
