assertion_id	disorder_id	disorder_name	source_file	section	section_index	name	description	category	frequency	diagnostic	context	subtype	role	presence	association	accession	age_range	background	base_model	classification	clinical_significance	consequence	data_type	de_novo_rate	definition_type	duration	effect	expressivity	features	genotype	incubation_days	incubation_years	markers	maximum_value	mean_range	minimum_value	model_format	model_id	model_software	model_type	notes	parent_of_origin_effect	penetrance	percentage	phase	platform	population	publication	repository_url	results	review_notes	sample_count	scope	sequence_length	severity	species	specificity	status	subtype_frequency	title	type	unit	scalar_fields_json	complex_fields_json	raw_json
169	8	Acne Vulgaris	Acne_Vulgaris.yaml	infectious_agent	0	Cutibacterium acnes	Commensal skin bacterium that proliferates in occluded follicles and contributes to inflammatory acne lesions.																																																								"{""description"": ""Commensal skin bacterium that proliferates in occluded follicles and contributes to inflammatory acne lesions."", ""name"": ""Cutibacterium acnes""}"	{}	"{""description"": ""Commensal skin bacterium that proliferates in occluded follicles and contributes to inflammatory acne lesions."", ""evidence"": [{""explanation"": ""This review links C. acnes colonization to inflammatory progression in acne."", ""reference"": ""PMID:24062871"", ""snippet"": ""Propionibacterium acnes colonizes the duct of the sebaceous follicle, causing an innate immune response and the progression from a so-called noninflammatory comedo to an inflammatory papule, pustule, or nodule."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Cutibacterium acnes"", ""term"": {""id"": ""NCBITaxon:1747"", ""label"": ""Cutibacterium acnes""}}, ""name"": ""Cutibacterium acnes""}"
217	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	infectious_agent	0	Human Immunodeficiency Virus (HIV)																																																									"{""name"": ""Human Immunodeficiency Virus (HIV)""}"	{}	"{""evidence"": [{""reference"": ""PMID:1396037"", ""snippet"": ""Acquired immunodeficiency syndrome (AIDS) is caused by infection with a pathogenic human retrovirus known as human immunodeficiency virus (HIV)."", ""supports"": ""SUPPORT""}, {""reference"": ""PMID:28365729"", ""snippet"": ""The human immunodeficiency virus (HIV) is associated with one of the most widespread infectious disease, the acquired immunodeficiency syndrome (AIDS)."", ""supports"": ""SUPPORT""}, {""reference"": ""PMID:29402983"", ""snippet"": ""Human immunodeficiency virus (HIV) is the retroviral agent that causes acquired immune deficiency syndrome (AIDS)."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Human immunodeficiency virus 1"", ""term"": {""id"": ""NCBITaxon:11676"", ""label"": ""Human immunodeficiency virus 1""}}, ""name"": ""Human Immunodeficiency Virus (HIV)""}"
289	11	Adult T-Cell Leukemia/Lymphoma	Adult_T_Cell_Leukemia_Lymphoma.yaml	infectious_agent	0	Human T-Lymphotropic Virus Type 1 (HTLV-1)	HTLV-1 is a deltaretrovirus that infects CD4+ T cells. Transmission occurs through breastfeeding, sexual contact, blood transfusion, and injection drug use. After infection, HTLV-1 integrates into the host genome and establishes lifelong persistent infection. The viral Tax protein is the major transforming factor, activating NF-kappaB, inducing genomic instability, and promoting T-cell proliferation. HBZ (HTLV-1 basic leucine zipper factor) expressed from the antisense strand also contributes to leukemogenesis.																																																								"{""description"": ""HTLV-1 is a deltaretrovirus that infects CD4+ T cells. Transmission occurs through breastfeeding, sexual contact, blood transfusion, and injection drug use. After infection, HTLV-1 integrates into the host genome and establishes lifelong persistent infection. The viral Tax protein is the major transforming factor, activating NF-kappaB, inducing genomic instability, and promoting T-cell proliferation. HBZ (HTLV-1 basic leucine zipper factor) expressed from the antisense strand also contributes to leukemogenesis."", ""name"": ""Human T-Lymphotropic Virus Type 1 (HTLV-1)""}"	{}	"{""description"": ""HTLV-1 is a deltaretrovirus that infects CD4+ T cells. Transmission occurs through breastfeeding, sexual contact, blood transfusion, and injection drug use. After infection, HTLV-1 integrates into the host genome and establishes lifelong persistent infection. The viral Tax protein is the major transforming factor, activating NF-kappaB, inducing genomic instability, and promoting T-cell proliferation. HBZ (HTLV-1 basic leucine zipper factor) expressed from the antisense strand also contributes to leukemogenesis."", ""evidence"": [{""explanation"": ""This abstract explicitly links HTLV-1 to adult T-cell leukemia/lymphoma, supporting the infectious etiology."", ""reference"": ""PMID:41553980"", ""snippet"": ""HTLV-1 is a retrovirus associated with adult T cell leukemia/lymphoma (ATL) and inflammatory diseases, including HTLV-1-associated myelopathy (HAM) and HTLV-1-associated bronchopneumonopathy (HAB)."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Human T-cell leukemia virus type I"", ""term"": {""id"": ""NCBITaxon:11908"", ""label"": ""Human T-cell leukemia virus type I""}}, ""name"": ""Human T-Lymphotropic Virus Type 1 (HTLV-1)""}"
314	12	Aflatoxin-Related Hepatocellular Carcinoma	Aflatoxin_Related_HCC.yaml	infectious_agent	0	Hepatitis B Virus (HBV)	Chronic HBV infection is a major cofactor in aflatoxin-related HCC, with synergistic interaction dramatically increasing cancer risk. HBV contributes through chronic inflammation, hepatocyte regeneration, HBx protein effects, and viral DNA integration. The combination of HBV and aflatoxin exposure increases HCC risk approximately 60-fold compared to unexposed individuals.																																																								"{""description"": ""Chronic HBV infection is a major cofactor in aflatoxin-related HCC, with synergistic interaction dramatically increasing cancer risk. HBV contributes through chronic inflammation, hepatocyte regeneration, HBx protein effects, and viral DNA integration. The combination of HBV and aflatoxin exposure increases HCC risk approximately 60-fold compared to unexposed individuals."", ""name"": ""Hepatitis B Virus (HBV)""}"	{}	"{""description"": ""Chronic HBV infection is a major cofactor in aflatoxin-related HCC, with synergistic interaction dramatically increasing cancer risk. HBV contributes through chronic inflammation, hepatocyte regeneration, HBx protein effects, and viral DNA integration. The combination of HBV and aflatoxin exposure increases HCC risk approximately 60-fold compared to unexposed individuals."", ""infectious_agent_term"": {""preferred_term"": ""Hepatitis B virus"", ""term"": {""id"": ""NCBITaxon:10407"", ""label"": ""Hepatitis B virus""}}, ""name"": ""Hepatitis B Virus (HBV)""}"
927	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	0	Neisseria meningitidis	A common cause of bacterial meningitis, particularly in children and young adults.																																																								"{""description"": ""A common cause of bacterial meningitis, particularly in children and young adults."", ""name"": ""Neisseria meningitidis""}"	{}	"{""description"": ""A common cause of bacterial meningitis, particularly in children and young adults."", ""evidence"": [{""explanation"": ""The literature states that Neisseria meningitidis is the most common"", ""reference"": ""PMID:17696042"", ""snippet"": ""Neisseria meningitidis is the most common cause of meningitis in children aged 2-18 with a mortality rate ranging from 4-40% and substantial morbidity in 11-19% of survivors."", ""supports"": ""SUPPORT""}, {""explanation"": ""The literature mentions a cluster of meningitis cases caused by Neisseria meningitidis in a population mostly under 18 years old, supporting the statement that it is a common cause of bacterial meningitis in children and young adults."", ""reference"": ""PMID:38524112"", ""snippet"": ""This meningococcal meningitis cluster caused by Neisseria meningitidis serogroup C occurred among non-vaccinated persons mostly aged <18 years in Palorinya Refugee Settlement."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Neisseria meningitidis"", ""term"": {""id"": ""NCBITaxon:487"", ""label"": ""Neisseria meningitidis""}}, ""name"": ""Neisseria meningitidis""}"
928	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	1	Streptococcus pneumoniae	The most common cause of bacterial meningitis in adults.																																																								"{""description"": ""The most common cause of bacterial meningitis in adults."", ""name"": ""Streptococcus pneumoniae""}"	{}	"{""description"": ""The most common cause of bacterial meningitis in adults."", ""evidence"": [{""explanation"": ""The reference clearly states that Streptococcus pneumoniae is the most common cause of bacterial meningitis in adults."", ""reference"": ""PMID:9519033"", ""snippet"": ""S pneumoniae is now the most common cause in children and adults overall."", ""supports"": ""SUPPORT""}, {""explanation"": ""The reference confirms that Streptococcus pneumoniae is the leading cause of bacterial meningitis."", ""reference"": ""PMID:30873934"", ""snippet"": ""Streptococcus pneumoniae (the pneumoccus) is the leading cause of otitis media, community-acquired pneumonia, and bacterial meningitis."", ""supports"": ""SUPPORT""}, {""explanation"": ""The reference indicates that Streptococcus pneumoniae is one of the most common causes of bacterial meningitis in adults, supporting the statement."", ""reference"": ""PMID:24568594"", ""snippet"": ""The most common causative organisms were Neisseria meningitidis (41%) and Streptococcus pneumoniae (30%)."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Streptococcus pneumoniae"", ""term"": {""id"": ""NCBITaxon:1313"", ""label"": ""Streptococcus pneumoniae""}}, ""name"": ""Streptococcus pneumoniae""}"
929	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	2	Haemophilus influenzae	Was a common cause in children before the Hib vaccine.																																																								"{""description"": ""Was a common cause in children before the Hib vaccine."", ""name"": ""Haemophilus influenzae""}"	{}	"{""description"": ""Was a common cause in children before the Hib vaccine."", ""evidence"": [{""explanation"": ""The reference indicates that Haemophilus influenzae type b (Hib) was the most common cause of bacterial meningitis in children before the Hib vaccine was introduced."", ""reference"": ""PMID:11032188"", ""snippet"": ""Hib was the most common cause of bacterial meningitis and other invasive bacterial diseases in this age group."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by noting that Hib was once a common cause of meningitis before the introduction of the Hib vaccine."", ""reference"": ""PMID:15907145"", ""snippet"": ""Recently, Haemophilus influenzae type b (Hib), once a common cause of meningitis, has virtually disappeared in developed nations, reflecting the overwhelming success of Hib vaccination."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference clearly states that Haemophilus influenzae type b was the leading cause of bacterial meningitis in children before the vaccine was introduced."", ""reference"": ""PMID:31981610"", ""snippet"": ""H. influenzae type b is the leading cause of bacterial meningitis in children before introduction of vaccination."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Haemophilus influenzae"", ""term"": {""id"": ""NCBITaxon:727""}}, ""name"": ""Haemophilus influenzae""}"
930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	Listeria monocytogenes	Can cause meningitis in newborns, pregnant women, and immunocompromised individuals.																																																								"{""description"": ""Can cause meningitis in newborns, pregnant women, and immunocompromised individuals."", ""name"": ""Listeria monocytogenes""}"	{}	"{""description"": ""Can cause meningitis in newborns, pregnant women, and immunocompromised individuals."", ""evidence"": [{""explanation"": ""This reference specifically mentions Listeria monocytogenes causing meningitis in neonates."", ""reference"": ""PMID:13904618"", ""snippet"": ""Listeria monocytogenes meningitis in neonates."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes can cause meningoencephalitis in immunocompromised patients and fetal-placental infection in pregnant women."", ""reference"": ""PMID:33583696"", ""snippet"": ""Listeria monocytogenes is a foodborne pathogen responsible for listeriosis, an infection that can manifest in humans as bacteremia, meningoencephalitis in immunocompromised patients and the elderly, and fetal-placental infection in pregnant women."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes affects immunocompromised patients, pregnant women, and neonates."", ""reference"": ""PMID:28536811"", ""snippet"": ""Listeria has a predilection to affect immunocompromised patients, elderly people, pregnant women and neonates."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes can cause meningitis in children, which includes newborns."", ""reference"": ""PMID:27055168"", ""snippet"": ""Listeria monocytogenes may cause meningitis, meningoencephalitis, brain abscess, pyogenic arthritis, osteomyelitis, and liver abscess in children."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by listing Listeria monocytogenes as a predominant pathogen in bacterial meningitis."", ""reference"": ""PMID:6349348"", ""snippet"": ""Predominant pathogens are Escherichia coli, group B streptococci, Listeria monocytogenes, Haemophilus influenzae, Neisseria meningitidis, and Streptococcus pneumoniae."", ""supports"": ""SUPPORT""}, {""explanation"": ""This reference supports the statement by associating bacterial meningitis in neonates with maternal genitourinary tract pathogens, which includes Listeria monocytogenes."", ""reference"": ""PMID:10470563"", ""snippet"": ""Bacterial pathogens primarily are associated with the maternal genitourinary tract."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Listeria monocytogenes"", ""term"": {""id"": ""NCBITaxon:1639"", ""label"": ""Listeria monocytogenes""}}, ""name"": ""Listeria monocytogenes""}"
1041	43	Bejel	Bejel.yaml	infectious_agent	0	Treponema pallidum subsp. endemicum	Treponemal agent of bejel.																																																								"{""description"": ""Treponemal agent of bejel."", ""name"": ""Treponema pallidum subsp. endemicum""}"	{}	"{""description"": ""Treponemal agent of bejel."", ""evidence"": [{""explanation"": ""The abstract identifies the causative treponeme for bejel."", ""reference"": ""PMID:35687593"", ""snippet"": ""Bejel (endemic syphilis) is a neglected non-venereal disease caused by Treponema pallidum subsp. endemicum (TEN)."", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Treponema pallidum subsp. endemicum"", ""term"": {""id"": ""NCBITaxon:53436"", ""label"": ""Treponema pallidum subsp. endemicum""}}, ""name"": ""Treponema pallidum subsp. endemicum""}"
1225	51	Burkitt Lymphoma	Burkitt_Lymphoma.yaml	infectious_agent	0	Epstein-Barr Virus (EBV)	EBV infection is nearly universal in endemic Burkitt lymphoma (>95%) but variable in sporadic (15-30%) and immunodeficiency-associated (25-40%) forms. EBV provides survival signals through EBNA1 and contributes to genomic instability, but MYC translocation is the essential oncogenic driver. EBV latency type I is typically observed with expression of EBNA1 and EBERs only.																																																								"{""description"": ""EBV infection is nearly universal in endemic Burkitt lymphoma (>95%) but variable in sporadic (15-30%) and immunodeficiency-associated (25-40%) forms. EBV provides survival signals through EBNA1 and contributes to genomic instability, but MYC translocation is the essential oncogenic driver. EBV latency type I is typically observed with expression of EBNA1 and EBERs only."", ""name"": ""Epstein-Barr Virus (EBV)""}"	{}	"{""description"": ""EBV infection is nearly universal in endemic Burkitt lymphoma (>95%) but variable in sporadic (15-30%) and immunodeficiency-associated (25-40%) forms. EBV provides survival signals through EBNA1 and contributes to genomic instability, but MYC translocation is the essential oncogenic driver. EBV latency type I is typically observed with expression of EBNA1 and EBERs only."", ""evidence"": [{""explanation"": ""Abstract reports high EBV association in endemic Burkitt lymphoma."", ""reference"": ""PMID:7797201"", ""snippet"": ""There is a strong association (approximately 95%) of endemic Burkitt's lymphoma with Epstein-Barr virus (EBV)"", ""supports"": ""SUPPORT""}], ""infectious_agent_term"": {""preferred_term"": ""Human gammaherpesvirus 4"", ""term"": {""id"": ""NCBITaxon:10376"", ""label"": ""Human gammaherpesvirus 4""}}, ""name"": ""Epstein-Barr Virus (EBV)""}"
