weighted_compliance	global_compliance	violations	file	missing_section_count	missing_sections
61.9	57.9	1	Tetralogy_of_Fallot.yaml	7	biochemical; datasets; clinical_trials; histopathology; animal_models; definitions; epidemiology
62.7	56.7	1	Sturge-Weber_Syndrome.yaml	12	diagnosis; inheritance; classifications; biochemical; differential_diagnoses; progression; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
63.9	60.9	1	Pericarditis.yaml	7	inheritance; datasets; clinical_trials; histopathology; animal_models; definitions; epidemiology
64.4	61.7	1	Infective_Endocarditis.yaml	9	inheritance; biochemical; datasets; clinical_trials; histopathology; animal_models; definitions; epidemiology; experimental_models
65.8	60.5	1	Juvenile_Myoclonic_Epilepsy.yaml	13	diagnosis; inheritance; biochemical; differential_diagnoses; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
65.9	64.8	1	Uveal_Melanoma.yaml	12	diagnosis; inheritance; prevalence; biochemical; differential_diagnoses; progression; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
65.9	54.1	0	Beare-Stevenson_Cutis_Gyrata_Syndrome.yaml	11	diagnosis; biochemical; differential_diagnoses; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
66.1	63.8	1	Rheumatic_Heart_Disease.yaml	6	datasets; clinical_trials; histopathology; animal_models; definitions; epidemiology
67.2	65.2	2	DNM1_Encephalopathy.yaml	10	classifications; biochemical; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
67.9	66.3	1	Hypoplastic_Left_Heart_Syndrome.yaml	8	biochemical; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology
69.1	67.0	2	SNAP25_Encephalopathy.yaml	10	classifications; biochemical; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.3	65.7	1	Epilepsy_of_Infancy_with_Migrating_Focal_Seizures.yaml	11	diagnosis; biochemical; differential_diagnoses; progression; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.3	65.9	1	FGFR_Altered_Cholangiocarcinoma.yaml	12	diagnosis; inheritance; prevalence; differential_diagnoses; progression; datasets; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
69.4	66.2	1	Acute_Radiation_Syndrome.yaml	12	inheritance; prevalence; classifications; biochemical; differential_diagnoses; progression; datasets; clinical_trials; histopathology; definitions; epidemiology; experimental_models
69.7	67.5	1	Diffuse_Large_B_Cell_Lymphoma.yaml	10	diagnosis; inheritance; prevalence; differential_diagnoses; progression; clinical_trials; environmental; animal_models; definitions; experimental_models
69.8	66.7	2	Pyridoxine-Dependent_Epilepsy.yaml	10	differential_diagnoses; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.8	65.2	0	Familial_Atrial_Fibrillation.yaml	13	diagnosis; prevalence; classifications; biochemical; differential_diagnoses; progression; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.9	67.2	1	PCDH19_Clustering_Epilepsy.yaml	12	classifications; biochemical; differential_diagnoses; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.9	68.1	3	PNPO_Deficiency.yaml	11	classifications; differential_diagnoses; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.9	65.9	1	Epilepsy_with_Myoclonic_Atonic_Seizures.yaml	13	diagnosis; inheritance; biochemical; differential_diagnoses; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
69.9	67.4	1	Kaposi_Sarcoma.yaml	12	diagnosis; inheritance; prevalence; differential_diagnoses; progression; datasets; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
69.9	68.5	3	Major_Depressive_Disorder.yaml	11	diagnosis; inheritance; prevalence; differential_diagnoses; progression; clinical_trials; histopathology; animal_models; definitions; epidemiology; experimental_models
70.3	70.5	1	Mesial_Temporal_Lobe_Epilepsy_with_Hippocampal_Sclerosis.yaml	14	diagnosis; inheritance; prevalence; classifications; biochemical; differential_diagnoses; progression; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
70.3	67.1	1	IDH_Mutant_Cholangiocarcinoma.yaml	12	diagnosis; inheritance; prevalence; differential_diagnoses; progression; datasets; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
70.3	67.4	2	KCNQ2_Developmental_and_Epileptic_Encephalopathy.yaml	12	prevalence; classifications; biochemical; differential_diagnoses; progression; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
70.5	66.4	1	Febrile_Infection-Related_Epilepsy_Syndrome.yaml	11	inheritance; classifications; progression; datasets; clinical_trials; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
70.6	67.9	1	IDH_Mutant_Astrocytoma.yaml	11	diagnosis; inheritance; prevalence; differential_diagnoses; progression; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
70.8	69.2	2	CPLX1-Related_DEE.yaml	9	classifications; biochemical; datasets; clinical_trials; environmental; histopathology; definitions; epidemiology; experimental_models
70.8	68.5	1	RET_Fusion_Thyroid_Cancer.yaml	12	diagnosis; inheritance; prevalence; differential_diagnoses; progression; datasets; clinical_trials; environmental; animal_models; definitions; epidemiology; experimental_models
70.9	69.9	1	Li-Fraumeni_Syndrome.yaml	12	diagnosis; inheritance; prevalence; classifications; differential_diagnoses; progression; environmental; histopathology; animal_models; definitions; epidemiology; experimental_models
