exon,length_nt,cdna_cum_end
1,87,87
2,925,1012
3,109,1121
4,116,1237
5,82,1319
6,136,1455
7,320,1775
8,119,1894
9,116,2010
10,142,2152
11,162,2314
12,94,2408
13,232,2640
14,208,2848
15,603,3451
16,313,3764
17,5389,9153
