exon,g_start,g_end,cds_nt,cds_start,cds_end,aa_start,aa_end,NMD_class
1,33578219,33578685,54,1,54,1,18,NMD_subject
2,33607594,33607676,83,55,137,19,45,NMD_subject
3,33644894,33645002,109,138,246,46,82,NMD_subject
4,33646245,33646353,109,247,355,83,118,NMD_subject
5,33661616,33661737,122,356,477,119,159,NMD_subject
6,33670673,33670790,118,478,595,160,198,NMD_subject
7,33671747,33671866,120,596,715,199,238,NMD_subject
8,33683405,33683568,164,716,879,239,293,NMD_subject
9,33731968,33732064,97,880,976,294,325,NMD_subject
10,33734310,33734415,106,977,1082,326,360,NMD_subject
11,33738487,33740443,1957,1083,3039,361,1013,straddles_50nt_boundary
12,33742888,33751195,3708,3040,6747,1014,2249,last_exon_ESCAPE
